"Membership Type","Bike","Checkout Date","Checkout Time","Checkout Kiosk","Return Kiosk","Duration (Minutes)"
"Walk Up","1000.0","3/1/2015","01:12:00","Palmer Auditorium","5th & Bowie","12.0"
"Walk Up","347.0","3/1/2015","02:12:00","West & 6th St.","UT West Mall @ Guadalupe","40.0"
"Walk Up","84.0","3/1/2015","02:12:00","West & 6th St.","UT West Mall @ Guadalupe","38.0"
"Walk Up","88.0","3/1/2015","07:12:00","Bullock Museum @ Congress & MLK","South Congress & Elizabeth","23.0"
"Walk Up","281.0","3/1/2015","08:12:00","South Congress & Elizabeth","South Congress & Elizabeth","73.0"
"Local365","749.0","3/1/2015","08:12:00","ACC - West & 12th","Republic Square @ Guadalupe & 4th St.","4.0"
"Walk Up","236.0","3/1/2015","09:12:00","South Congress & Academy","State Capitol @ 14th & Colorado","17.0"
"Local365","398.0","3/1/2015","10:12:00","Davis at Rainey Street","4th & Congress","6.0"
"Local365","919.0","3/1/2015","10:12:00","East 6th & Pedernales St.","4th & Congress","18.0"
"Local365","716.0","3/1/2015","10:12:00","East 6th & Pedernales St.","4th & Congress","17.0"
"Walk Up","60.0","3/1/2015","10:12:00","4th & Congress","4th & Congress","0.0"
"Walk Up","60.0","3/1/2015","10:12:00","4th & Congress","City Hall / Lavaca & 2nd","90.0"
"Walk Up","398.0","3/1/2015","10:12:00","4th & Congress","City Hall / Lavaca & 2nd","29.0"
"Walk Up","422.0","3/1/2015","10:12:00","State Capitol Visitors Garage @ San Jacinto & 12th","San Jacinto & 8th Street","4.0"
"Local365","716.0","3/1/2015","10:12:00","4th & Congress","Zilker Park at Barton Springs & William Barton Drive","22.0"
"Local365","919.0","3/1/2015","10:12:00","4th & Congress","Zilker Park at Barton Springs & William Barton Drive","22.0"
"Walk Up","399.0","3/1/2015","11:12:00","Capitol Station / Congress & 11th","Convention Center / 4th St. @ MetroRail","7.0"
"Walk Up","800.0","3/1/2015","11:12:00","Convention Center / 3rd & Trinity","Convention Center / 4th St. @ MetroRail","263.0"
"Local365","550.0","3/1/2015","11:12:00","Barton Springs & Riverside","City Hall / Lavaca & 2nd","5.0"
"Walk Up","513.0","3/1/2015","11:12:00","3rd & West","Capitol Station / Congress & 11th","35.0"
"Walk Up","540.0","3/1/2015","11:12:00","UT West Mall @ Guadalupe","Toomey Rd @ South Lamar","16.0"
"Walk Up","97.0","3/1/2015","11:12:00","Barton Springs & Riverside","Barton Springs @ Kinney Ave","9.0"
"Walk Up","110.0","3/1/2015","11:12:00","Barton Springs & Riverside","Barton Springs @ Kinney Ave","8.0"
"Walk Up","110.0","3/1/2015","11:12:00","Barton Springs @ Kinney Ave","Zilker Park at Barton Springs & William Barton Drive","7.0"
"Walk Up","97.0","3/1/2015","11:12:00","Barton Springs @ Kinney Ave","Zilker Park at Barton Springs & William Barton Drive","6.0"
"Walk Up","185.0","3/1/2015","12:12:00","5th & Bowie","Zilker Park at Barton Springs & William Barton Drive","24.0"
"Local365","875.0","3/1/2015","12:12:00","City Hall / Lavaca & 2nd","City Hall / Lavaca & 2nd","1.0"
"Local365","102.0","3/1/2015","12:12:00","City Hall / Lavaca & 2nd","Pfluger Bridge @ W 2nd Street","3.0"
"Local365","862.0","3/1/2015","12:12:00","Pfluger Bridge @ W 2nd Street","5th & Bowie","2.0"
"Local365","951.0","3/1/2015","12:12:00","Pfluger Bridge @ W 2nd Street","5th & Bowie","2.0"
"Walk Up","465.0","3/1/2015","12:12:00","2nd & Congress","South Congress & Elizabeth","11.0"
"Walk Up","195.0","3/1/2015","12:12:00","Riverside @ S. Lamar","Riverside @ S. Lamar","89.0"
"Walk Up","14.0","3/1/2015","12:12:00","Riverside @ S. Lamar","Capitol Station / Congress & 11th","16.0"
"Walk Up","272.0","3/1/2015","12:12:00","Rainey St @ Cummings","Rainey St @ Cummings","1.0"
"Walk Up","272.0","3/1/2015","12:12:00","Rainey St @ Cummings","Rainey St @ Cummings","24.0"
"Walk Up","544.0","3/1/2015","12:12:00","Trinity & 6th Street","Rainey St @ Cummings","20.0"
"Walk Up","208.0","3/1/2015","12:12:00","Rainey St @ Cummings","Rainey St @ Cummings","23.0"
"Walk Up","561.0","3/1/2015","12:12:00","Trinity & 6th Street","Rainey St @ Cummings","20.0"
"Walk Up","321.0","3/1/2015","12:12:00","Trinity & 6th Street","Trinity & 6th Street","0.0"
"Walk Up","288.0","3/1/2015","12:12:00","Trinity & 6th Street","Rainey St @ Cummings","18.0"
"Walk Up","321.0","3/1/2015","12:12:00","Trinity & 6th Street","Rainey St @ Cummings","16.0"
"Walk Up","321.0","3/1/2015","12:12:00","Rainey St @ Cummings","2nd & Congress","42.0"
"Walk Up","544.0","3/1/2015","12:12:00","Rainey St @ Cummings","2nd & Congress","41.0"
"Walk Up","561.0","3/1/2015","12:12:00","Rainey St @ Cummings","2nd & Congress","43.0"
"Walk Up","288.0","3/1/2015","12:12:00","Rainey St @ Cummings","2nd & Congress","40.0"
"Walk Up","185.0","3/1/2015","12:12:00","Zilker Park at Barton Springs & William Barton Drive","5th & Bowie","12.0"
"Walk Up","281.0","3/1/2015","13:12:00","South Congress & Elizabeth","Trinity & 6th Street","0.0"
"Walk Up","97.0","3/1/2015","13:12:00","Zilker Park at Barton Springs & William Barton Drive","Zilker Park at Barton Springs & William Barton Drive","32.0"
"Walk Up","919.0","3/1/2015","13:12:00","Zilker Park at Barton Springs & William Barton Drive","Zilker Park at Barton Springs & William Barton Drive","31.0"
"Walk Up","544.0","3/1/2015","13:12:00","2nd & Congress","Trinity & 6th Street","15.0"
"Walk Up","288.0","3/1/2015","13:12:00","2nd & Congress","Trinity & 6th Street","14.0"
"Walk Up","561.0","3/1/2015","13:12:00","2nd & Congress","Trinity & 6th Street","12.0"
"Walk Up","867.0","3/1/2015","13:12:00","2nd & Congress","Trinity & 6th Street","13.0"
"Walk Up","369.0","3/1/2015","13:12:00","Riverside @ S. Lamar","Zilker Park at Barton Springs & William Barton Drive","14.0"
"Walk Up","849.0","3/1/2015","13:12:00","Riverside @ S. Lamar","Zilker Park at Barton Springs & William Barton Drive","14.0"
