"Membership Type","Bike","Checkout Date","Checkout Time","Checkout Kiosk","Return Kiosk","Duration (Minutes)"
"Weekender","327.0","11/1/2015","14:12:33","2nd & Congress","Plaza Saltillo","13.0"
"Weekender","75.0","11/1/2015","19:12:36","Bullock Museum @ Congress & MLK","8th & Congress","12.0"
"Weekender","523.0","11/1/2015","12:12:52","East 2nd & Pedernales","Convention Center / 3rd & Trinity","14.0"
"Weekender","863.0","11/1/2015","01:12:49","4th & Congress","East 2nd & Pedernales","76.0"
"Walk Up","693.0","11/1/2015","00:12:24","West & 6th St.","Capitol Station / Congress & 11th","77.0"
"Walk Up","25.0","11/1/2015","11:12:44","Pfluger Bridge @ W 2nd Street","Convention Center / 3rd & Trinity","18.0"
"Weekender","410.0","11/1/2015","10:12:25","Long Center @ South 1st & Riverside","City Hall / Lavaca & 2nd","6.0"
"Weekender","78.0","11/1/2015","11:12:23","City Hall / Lavaca & 2nd","Barton Springs & Riverside","25.0"
"Walk Up","483.0","11/1/2015","00:12:38","Capitol Station / Congress & 11th","South Congress & James","26.0"
"Walk Up","483.0","11/1/2015","00:12:23","South Congress & James","Republic Square @ Guadalupe & 4th St.","86.0"
"Walk Up","685.0","11/1/2015","01:12:05","4th & Congress","State Capitol Visitors Garage @ San Jacinto & 12th","73.0"
"Walk Up","60.0","11/1/2015","01:12:28","4th & Congress","State Capitol Visitors Garage @ San Jacinto & 12th","73.0"
"Walk Up","105.0","11/1/2015","00:12:00","Capitol Station / Congress & 11th","South Congress & James","23.0"
"Walk Up","105.0","11/1/2015","00:12:29","South Congress & James","Republic Square @ Guadalupe & 4th St.","87.0"
"Walk Up","685.0","11/1/2015","01:12:22","State Capitol Visitors Garage @ San Jacinto & 12th","State Capitol Visitors Garage @ San Jacinto & 12th","0.0"
"Walk Up","100.0","11/1/2015","01:12:05","State Capitol Visitors Garage @ San Jacinto & 12th","UT West Mall @ Guadalupe","26.0"
"Walk Up","206.0","11/1/2015","00:12:44","Convention Center / 4th St. @ MetroRail","South Congress & Academy","77.0"
"Walk Up","191.0","11/1/2015","21:12:19","Convention Center / 4th St. @ MetroRail","East 6th & Pedernales St.","11.0"
"Walk Up","513.0","11/1/2015","01:12:26","Convention Center / 4th St. @ MetroRail","Toomey Rd @ South Lamar","29.0"
"Walk Up","751.0","11/1/2015","01:12:06","Convention Center / 4th St. @ MetroRail","Toomey Rd @ South Lamar","28.0"
"Walk Up","224.0","11/1/2015","01:12:59","UT West Mall @ Guadalupe","Republic Square @ Guadalupe & 4th St.","26.0"
"Walk Up","236.0","11/1/2015","01:12:46","Bullock Museum @ Congress & MLK","Rainey St @ Cummings","677.0"
