"Membership Type","Bike","Checkout Date","Checkout Time","Checkout Kiosk","Return Kiosk","Duration (Minutes)"
"Weekender","288.0","1/1/2016","11:12:07","4th & Congress","East 4th & Chicon","13.0"
"Weekender","306.0","1/1/2016","13:12:26","Zilker Park","2nd & Congress","17.0"
"Weekender","553.0","1/1/2016","12:12:56","East 4th & Chicon","2nd & Congress","16.0"
"Weekender","20.0","1/1/2016","14:12:46","2nd & Congress","Rainey St @ Cummings","9.0"
"Weekender","348.0","1/1/2016","14:12:09","South Congress & James","Palmer Auditorium","19.0"
"Weekender","411.0","1/1/2016","18:12:30","Palmer Auditorium","8th & Congress","18.0"
"Weekender","55.0","1/1/2016","13:12:46","Palmer Auditorium","South Congress & Elizabeth","13.0"
"Weekender","55.0","1/1/2016","12:12:24","Convention Center / 4th St. @ MetroRail","Palmer Auditorium","12.0"
"Weekender","655.0","1/1/2016","14:12:51","South Congress & James","Palmer Auditorium","20.0"
"Walk Up","311.0","1/1/2016","00:12:41","Rainey St @ Cummings","Barton Springs & Riverside","20.0"
"Walk Up","660.0","1/1/2016","15:12:35","South Congress & James","Capitol Station / Congress & 11th","28.0"
"Walk Up","229.0","1/1/2016","17:12:09","5th & San Marcos","UT West Mall @ Guadalupe","65.0"
"Walk Up","853.0","1/1/2016","13:12:56","Zilker Park","Zilker Park","39.0"
"Walk Up","30.0","1/1/2016","17:12:35","5th & Bowie","East 6th & Pedernales St.","22.0"
"Walk Up","85.0","1/1/2016","19:12:07","East 6th & Pedernales St.","Davis at Rainey Street","14.0"
"Walk Up","517.0","1/1/2016","02:12:21","Waller & 6th St.","South Congress & Academy","405.0"
"Walk Up","95.0","1/1/2016","02:12:18","Waller & 6th St.","South Congress & Academy","39.0"
"Walk Up","576.0","1/1/2016","02:12:54","Waller & 6th St.","South Congress & Academy","55.0"
"Walk Up","78.0","1/1/2016","02:12:39","Convention Center / 4th St. @ MetroRail","Barton Springs & Riverside","30.0"
"Walk Up","14.0","1/1/2016","03:12:59","City Hall / Lavaca & 2nd","Republic Square @ Guadalupe & 4th St.","76.0"
"Walk Up","575.0","1/1/2016","03:12:13","City Hall / Lavaca & 2nd","Republic Square @ Guadalupe & 4th St.","74.0"
"Walk Up","996.0","1/1/2016","03:12:44","City Hall / Lavaca & 2nd","Republic Square @ Guadalupe & 4th St.","73.0"
"Walk Up","320.0","1/1/2016","03:12:48","City Hall / Lavaca & 2nd","Republic Square @ Guadalupe & 4th St.","70.0"
"Walk Up","275.0","1/1/2016","11:12:04","Rainey St @ Cummings","MoPac Pedestrian Bridge @ Veterans Drive","38.0"
"Explorer","247.0","1/1/2016","12:12:57","Red River & 8th Street","Convention Center / 4th St. @ MetroRail","18.0"
"Walk Up","472.0","1/1/2016","13:12:24","Zilker Park","Zilker Park","9.0"
"Walk Up","472.0","1/1/2016","13:12:19","Pfluger Bridge @ W 2nd Street","Zilker Park","13.0"
"Walk Up","937.0","1/1/2016","19:12:48","Capitol Station / Congress & 11th","Convention Center / 3rd & Trinity","11.0"
"Walk Up","411.0","1/1/2016","16:12:47","5th & Bowie","ACC - West & 12th Street","22.0"
"Walk Up","411.0","1/1/2016","13:12:37","Pfluger Bridge @ W 2nd Street","Zilker Park","12.0"
"Walk Up","341.0","1/1/2016","15:12:30","Barton Springs Pool","Pfluger Bridge @ W 2nd Street","16.0"
"Walk Up","856.0","1/1/2016","12:12:49","Riverside @ S. Lamar","Pfluger Bridge @ W 2nd Street","81.0"
"Walk Up","963.0","1/1/2016","12:12:20","Riverside @ S. Lamar","Pfluger Bridge @ W 2nd Street","80.0"
"Weekender","344.0","1/1/2016","14:12:02","South Congress & James","Riverside @ S. Lamar","28.0"
"Walk Up","936.0","1/1/2016","13:12:07","8th & Congress","Lavaca & 6th","101.0"
"Walk Up","999.0","1/1/2016","13:12:50","8th & Congress","Lavaca & 6th","100.0"
"Walk Up","86.0","1/1/2016","13:12:29","8th & Congress","Lavaca & 6th","98.0"
"Weekender","124.0","1/1/2016","13:12:43","South Congress & Elizabeth","Palmer Auditorium","17.0"
"Walk Up","26.0","1/1/2016","13:12:38","South Congress & Academy","South Congress & Academy","18.0"
"Walk Up","360.0","1/1/2016","13:12:20","Riverside @ S. Lamar","Riverside @ S. Lamar","122.0"
"Walk Up","306.0","1/1/2016","14:12:03","2nd & Congress","South Congress & Academy","37.0"
"Walk Up","219.0","1/1/2016","14:12:26","Long Center @ South 1st & Riverside","MoPac Pedestrian Bridge @ Veterans Drive","25.0"
"Walk Up","226.0","1/1/2016","14:12:54","East 6th at Robert Martinez","East 6th at Robert Martinez","97.0"
"Walk Up","670.0","1/1/2016","14:12:07","Plaza Saltillo","Plaza Saltillo","0.0"
"Walk Up","200.0","1/1/2016","15:12:51","Riverside @ S. Lamar","Zilker Park","34.0"
"Walk Up","306.0","1/1/2016","15:12:34","Bullock Museum @ Congress & MLK","Bullock Museum @ Congress & MLK","29.0"
"Walk Up","306.0","1/1/2016","16:12:59","Bullock Museum @ Congress & MLK","State Capitol @ 14th & Colorado","7.0"
"Walk Up","1000.0","1/1/2016","15:12:15","Bullock Museum @ Congress & MLK","Bullock Museum @ Congress & MLK","29.0"
"Walk Up","1000.0","1/1/2016","15:12:06","South Congress & Academy","Bullock Museum @ Congress & MLK","21.0"
"Walk Up","483.0","1/1/2016","15:12:13","East 2nd & Pedernales","Riverside @ S. Lamar","1097.0"
"Walk Up","539.0","1/1/2016","15:12:42","State Capitol @ 14th & Colorado","State Capitol @ 14th & Colorado","84.0"
"Walk Up","548.0","1/1/2016","15:12:47","State Capitol Visitors Garage @ San Jacinto & 12th","State Capitol Visitors Garage @ San Jacinto & 12th","30.0"
"Walk Up","550.0","1/1/2016","15:12:36","MoPac Pedestrian Bridge @ Veterans Drive","Pfluger Bridge @ W 2nd Street","25.0"
"Walk Up","247.0","1/1/2016","17:12:51","Convention Center / 4th St. @ MetroRail","Capitol Station / Congress & 11th","11.0"
"Walk Up","161.0","1/1/2016","16:12:56","MoPac Pedestrian Bridge @ Veterans Drive","Pfluger Bridge @ W 2nd Street","30.0"
"Walk Up","22.0","1/1/2016","15:12:07","Pfluger Bridge @ W 2nd Street","MoPac Pedestrian Bridge @ Veterans Drive","17.0"
"Walk Up","341.0","1/1/2016","16:12:28","MoPac Pedestrian Bridge @ Veterans Drive","Riverside @ S. Lamar","1078.0"
"Walk Up","822.0","1/1/2016","18:12:03","2nd & Congress","17th & Guadalupe","26.0"
"Walk Up","789.0","1/1/2016","17:12:34","Rainey St @ Cummings","Barton Springs & Riverside","21.0"
"Walk Up","223.0","1/1/2016","17:12:11","Barton Springs & Riverside","2nd & Congress","35.0"
"Walk Up","223.0","1/1/2016","16:12:57","State Capitol @ 14th & Colorado","2nd & Congress","31.0"
"Walk Up","332.0","1/1/2016","15:12:35","17th & Guadalupe","17th & Guadalupe","0.0"
"Explorer","127.0","1/1/2016","17:12:42","Bullock Museum @ Congress & MLK","Trinity & 6th Street","16.0"
"Walk Up","223.0","1/1/2016","18:12:53","17th & Guadalupe","UT West Mall @ Guadalupe","12.0"
"Walk Up","177.0","1/1/2016","16:12:48","Rainey St @ Cummings","Rainey St @ Cummings","10.0"
"Walk Up","853.0","1/1/2016","16:12:52","Zilker Park","City Hall / Lavaca & 2nd","17.0"
"Walk Up","273.0","1/1/2016","17:12:31","Pfluger Bridge @ W 2nd Street","MoPac Pedestrian Bridge @ Veterans Drive","28.0"
"Walk Up","922.0","1/1/2016","17:12:17","MoPac Pedestrian Bridge @ Veterans Drive","Pfluger Bridge @ W 2nd Street","13.0"
