"Membership Type","Bike","Checkout Date","Checkout Time","Checkout Kiosk","Return Kiosk","Duration (Minutes)"
"Walk Up","188.0","7/1/2015","00:12:00","Davis at Rainey Street","2nd & Congress","10.0"
"Local30","183.0","7/1/2015","01:12:00","Pfluger Bridge @ W 2nd Street","Pfluger Bridge @ W 2nd Street","15.0"
"Local30","370.0","7/1/2015","05:12:00","Barton Springs & Riverside","Pfluger Bridge @ W 2nd Street","8.0"
"Local30","523.0","7/1/2015","06:12:00","Palmer Auditorium","2nd & Congress","8.0"
"Local365","747.0","7/1/2015","06:12:00","Convention Center / 4th St. @ MetroRail","Rainey @ River St","4.0"
"Local30","878.0","7/1/2015","06:12:00","UT West Mall @ Guadalupe","17th & Guadalupe","5.0"
"Local30","369.0","7/1/2015","06:12:00","Palmer Auditorium","4th & Congress","8.0"
"Local365","895.0","7/1/2015","07:12:00","Waller & 6th St.","Republic Square @ Guadalupe & 4th St.","9.0"
"Walk Up","64.0","7/1/2015","07:12:00","Rainey St @ Cummings","Pfluger Bridge @ W 2nd Street","16.0"
"Local365","664.0","7/1/2015","07:12:00","Barton Springs @ Kinney Ave","City Hall / Lavaca & 2nd","8.0"
"Walk Up","696.0","7/1/2015","07:12:00","Pfluger Bridge @ W 2nd Street","Rainey St @ Cummings","28.0"
"Local365","975.0","7/1/2015","07:12:00","Toomey Rd @ South Lamar","City Hall / Lavaca & 2nd","9.0"
"Local365","420.0","7/1/2015","07:12:00","ACC - West & 12th","San Jacinto & 8th Street","5.0"
"Local365","895.0","7/1/2015","07:12:00","Republic Square @ Guadalupe & 4th St.","4th & Congress","3.0"
"Walk Up","263.0","7/1/2015","07:12:00","Barton Springs Pool","Barton Springs Pool","71.0"
"Local30","64.0","7/1/2015","07:12:00","Pfluger Bridge @ W 2nd Street","5th & Bowie","2.0"
"Local365","937.0","7/1/2015","07:12:00","Capital Metro HQ - East 5th at Broadway","Capital Metro HQ - East 5th at Broadway","10.0"
"Local365","360.0","7/1/2015","08:12:00","South Congress & Academy","4th & Congress","9.0"
"Local30","371.0","7/1/2015","08:12:00","Trinity & 6th Street","Republic Square @ Guadalupe & 4th St.","6.0"
"Local365","735.0","7/1/2015","08:12:00","ACC - Rio Grande & 12th","3rd & West","29.0"
"Local365","855.0","7/1/2015","08:12:00","Nueces @ 3rd","5th & Bowie","3.0"
"Local365","105.0","7/1/2015","08:12:00","East 6th at Robert Martinez","2nd & Congress","12.0"
"Local30","850.0","7/1/2015","08:12:00","5th & Bowie","Convention Center / 4th St. @ MetroRail","10.0"
"Local365","446.0","7/1/2015","08:12:00","5th & Bowie","4th & Congress","6.0"
"Local365","855.0","7/1/2015","08:12:00","5th & Bowie","8th & Congress","10.0"
"Local365","64.0","7/1/2015","08:12:00","5th & Bowie","4th & Congress","8.0"
"Local365","367.0","7/1/2015","08:12:00","Convention Center / 4th St. @ MetroRail","5th & Bowie","9.0"
"Local365","547.0","7/1/2015","08:12:00","Convention Center / 4th St. @ MetroRail","3rd & West","9.0"
"Local30","529.0","7/1/2015","08:12:00","2nd & Congress","Palmer Auditorium","12.0"
"Local30","460.0","7/1/2015","08:12:00","Red River & 8th Street","Red River & 8th Street","0.0"
"Local365","483.0","7/1/2015","08:12:00","5th & San Marcos","Plaza Saltillo","3.0"
"Local365","696.0","7/1/2015","08:12:00","Rainey St @ Cummings","Nueces @ 3rd","9.0"
"Local30","219.0","7/1/2015","08:12:00","Red River & 8th Street","2nd & Congress","5.0"
"Local365","226.0","7/1/2015","08:12:00","Plaza Saltillo","East 11th St. at Victory Grill","6.0"
"Local30","874.0","7/1/2015","08:12:00","Riverside @ S. Lamar","Riverside @ S. Lamar","16.0"
"Local365","983.0","7/1/2015","08:12:00","East 6th at Robert Martinez","East 6th at Robert Martinez","23.0"
"Local30","999.0","7/1/2015","08:12:00","UT West Mall @ Guadalupe","4th & Congress","8.0"
