"Membership Type","Bike","Checkout Date","Checkout Time","Checkout Kiosk","Return Kiosk","Duration (Minutes)"
"Annual Membership (Austin B-cycle)","983.0","11/1/2014","00:12:00","Waller & 6th St.","East 6th at Robert Martinez","7.0"
"24-Hour Kiosk (Austin B-cycle)","484.0","11/1/2014","00:12:00","Red River & 8th Street","ACC - Rio Grande & 12th","14.0"
"Annual Membership (Austin B-cycle)","35.0","11/1/2014","00:12:00","Red River & 8th Street","ACC - Rio Grande & 12th","13.0"
"24-Hour Kiosk (Austin B-cycle)","105.0","11/1/2014","00:12:00","Republic Square @ Guadalupe & 4th St.","Long Center @ South 1st & Riverside","6.0"
"24-Hour Kiosk (Austin B-cycle)","933.0","11/1/2014","00:12:00","Republic Square @ Guadalupe & 4th St.","Long Center @ South 1st & Riverside","5.0"
"24-Hour Kiosk (Austin B-cycle)","865.0","11/1/2014","00:12:00","Guadalupe & 21st","West & 6th St.","10.0"
"24-Hour Kiosk (Austin B-cycle)","391.0","11/1/2014","00:12:00","Guadalupe & 21st","West & 6th St.","9.0"
"24-Hour Kiosk (Austin B-cycle)","894.0","11/1/2014","00:12:00","State Capitol @ 14th & Colorado","San Jacinto & 8th Street","11.0"
"24-Hour Kiosk (Austin B-cycle)","190.0","11/1/2014","00:12:00","East 6th at Robert Martinez","4th & Congress","16.0"
"24-Hour Kiosk (Austin B-cycle)","983.0","11/1/2014","00:12:00","East 6th at Robert Martinez","4th & Congress","16.0"
"24-Hour Kiosk (Austin B-cycle)","201.0","11/1/2014","00:12:00","8th & Congress","Convention Center / 4th St. @ MetroRail","78.0"
"Annual Membership (Austin B-cycle)","68.0","11/1/2014","00:12:00","Trinity & 6th Street","Davis at Rainey Street","9.0"
"24-Hour Kiosk (Austin B-cycle)","362.0","11/1/2014","00:12:00","8th & Congress","Convention Center / 4th St. @ MetroRail","77.0"
"24-Hour Kiosk (Austin B-cycle)","354.0","11/1/2014","00:12:00","Davis at Rainey Street","Red River & 8th Street","8.0"
"24-Hour Kiosk (Austin B-cycle)","815.0","11/1/2014","00:12:00","Davis at Rainey Street","Red River & 8th Street","9.0"
"Founding Member","588.0","11/1/2014","00:12:00","Riverside @ S. Lamar","City Hall / Lavaca & 2nd","6.0"
"24-Hour Kiosk (Austin B-cycle)","68.0","11/1/2014","00:12:00","Davis at Rainey Street","Red River & 8th Street","7.0"
"24-Hour Kiosk (Austin B-cycle)","52.0","11/1/2014","00:12:00","South Congress & Elizabeth","4th & Congress","16.0"
"24-Hour Kiosk (Austin B-cycle)","503.0","11/1/2014","00:12:00","South Congress & Elizabeth","4th & Congress","16.0"
"Annual Membership (Austin B-cycle)","925.0","11/1/2014","00:12:00","East 11th St. at Victory Grill","2nd & Congress","13.0"
"24-Hour Kiosk (Austin B-cycle)","117.0","11/1/2014","00:12:00","4th & Congress","4th & Congress","33.0"
"24-Hour Kiosk (Austin B-cycle)","867.0","11/1/2014","00:12:00","4th & Congress","4th & Congress","453.0"
"24-Hour Kiosk (Austin B-cycle)","190.0","11/1/2014","01:12:00","4th & Congress","4th & Congress","31.0"
"24-Hour Kiosk (Austin B-cycle)","983.0","11/1/2014","01:12:00","4th & Congress","4th & Congress","30.0"
"24-Hour Kiosk (Austin B-cycle)","72.0","11/1/2014","01:12:00","Convention Center / 3rd & Trinity","3rd & West","12.0"
"24-Hour Kiosk (Austin B-cycle)","895.0","11/1/2014","01:12:00","Convention Center / 3rd & Trinity","South Congress & Academy","9.0"
"Annual Membership (Austin B-cycle)","884.0","11/1/2014","01:12:00","Convention Center / 4th St. @ MetroRail","East 6th at Robert Martinez","13.0"
"Annual Membership (Austin B-cycle)","348.0","11/1/2014","01:12:00","Convention Center / 4th St. @ MetroRail","East 6th at Robert Martinez","11.0"
"24-Hour Kiosk (Austin B-cycle)","177.0","11/1/2014","01:12:00","Capitol Station / Congress & 11th","UT West Mall @ Guadalupe","17.0"
"24-Hour Kiosk (Austin B-cycle)","160.0","11/1/2014","01:12:00","ACC - Rio Grande & 12th","Guadalupe & 21st","7.0"
"Annual Membership (Austin B-cycle)","553.0","11/1/2014","01:12:00","8th & Congress","Red River @ LBJ Library","14.0"
"Semester Membership","984.0","11/1/2014","01:12:00","2nd & Congress","South Congress & Academy","8.0"
"24-Hour Kiosk (Austin B-cycle)","975.0","11/1/2014","01:12:00","Barton Springs & Riverside","Toomey Rd @ South Lamar","6.0"
"Annual Membership (Austin B-cycle)","488.0","11/1/2014","01:12:00","Davis at Rainey Street","Barton Springs & Riverside","6.0"
"24-Hour Kiosk (Austin B-cycle)","503.0","11/1/2014","01:12:00","4th & Congress","East 6th at Robert Martinez","755.0"
"24-Hour Kiosk (Austin B-cycle)","117.0","11/1/2014","01:12:00","4th & Congress","17th & Guadalupe","14.0"
"Annual Membership (Austin B-cycle)","52.0","11/1/2014","01:12:00","4th & Congress","5th & Bowie","9.0"
"Annual Membership (Austin B-cycle)","983.0","11/1/2014","01:12:00","4th & Congress","West & 6th St.","5.0"
"24-Hour Kiosk (Austin B-cycle)","461.0","11/1/2014","01:12:00","Capitol Station / Congress & 11th","Bullock Museum @ Congress & MLK","13.0"
"24-Hour Kiosk (Austin B-cycle)","696.0","11/1/2014","01:12:00","Capitol Station / Congress & 11th","Bullock Museum @ Congress & MLK","10.0"
"Annual Membership (Austin B-cycle)","560.0","11/1/2014","01:12:00","City Hall / Lavaca & 2nd","Toomey Rd @ South Lamar","10.0"
"24-Hour Kiosk (Austin B-cycle)","995.0","11/1/2014","02:12:00","8th & Congress","17th & Guadalupe","14.0"
"24-Hour Kiosk (Austin B-cycle)","122.0","11/1/2014","02:12:00","Waller & 6th St.","ACC - Rio Grande & 12th","21.0"
"24-Hour Kiosk (Austin B-cycle)","195.0","11/1/2014","02:12:00","Waller & 6th St.","ACC - Rio Grande & 12th","22.0"
"24-Hour Kiosk (Austin B-cycle)","352.0","11/1/2014","02:12:00","8th & Congress","17th & Guadalupe","13.0"
"24-Hour Kiosk (Austin B-cycle)","208.0","11/1/2014","02:12:00","5th & San Marcos","South Congress & James","750.0"
"24-Hour Kiosk (Austin B-cycle)","966.0","11/1/2014","02:12:00","5th & San Marcos","South Congress & James","749.0"
"24-Hour Kiosk (Austin B-cycle)","878.0","11/1/2014","02:12:00","East 11th St. at Victory Grill","Barton Springs & Riverside","17.0"
"24-Hour Kiosk (Austin B-cycle)","513.0","11/1/2014","02:12:00","Trinity & 6th Street","UT West Mall @ Guadalupe","16.0"
"24-Hour Kiosk (Austin B-cycle)","19.0","11/1/2014","02:12:00","Trinity & 6th Street","UT West Mall @ Guadalupe","15.0"
"Annual Membership (Austin B-cycle)","262.0","11/1/2014","02:12:00","West & 6th St.","2nd & Congress","19.0"
"24-Hour Kiosk (Austin B-cycle)","62.0","11/1/2014","02:12:00","West & 6th St.","ACC - West & 12th","839.0"
"24-Hour Kiosk (Austin B-cycle)","169.0","11/1/2014","02:12:00","West & 6th St.","Riverside @ S. Lamar","14.0"
"24-Hour Kiosk (Austin B-cycle)","558.0","11/1/2014","02:12:00","West & 6th St.","Riverside @ S. Lamar","13.0"
