"Membership Type","Bike","Checkout Date","Checkout Time","Checkout Kiosk","Return Kiosk","Duration (Minutes)"
"Walk Up","28.0","4/1/2015","00:12:00","Davis at Rainey Street","Davis at Rainey Street","180.0"
"Walk Up","95.0","4/1/2015","00:12:00","Davis at Rainey Street","Davis at Rainey Street","180.0"
"Local30","212.0","4/1/2015","00:12:00","2nd & Congress","Palmer Auditorium","8.0"
"Walk Up","507.0","4/1/2015","00:12:00","Davis at Rainey Street","17th & Guadalupe","14.0"
"Walk Up","461.0","4/1/2015","00:12:00","Republic Square @ Guadalupe & 4th St.","Republic Square @ Guadalupe & 4th St.","37.0"
"Local365","224.0","4/1/2015","00:12:00","Capitol Station / Congress & 11th","Palmer Auditorium","9.0"
"Walk Up","561.0","4/1/2015","01:12:00","Red River & 8th Street","East 6th at Robert Martinez","13.0"
"Local365","895.0","4/1/2015","06:12:00","City Hall / Lavaca & 2nd","3rd & West","3.0"
"Walk Up","547.0","4/1/2015","06:12:00","Rainey St @ Cummings","Convention Center / 4th St. @ MetroRail","23.0"
"Local365","412.0","4/1/2015","07:12:00","Capital Metro HQ - East 5th at Broadway","4th & Congress","15.0"
"Local365","961.0","4/1/2015","07:12:00","Plaza Saltillo","East 6th & Pedernales St.","7.0"
"Walk Up","547.0","4/1/2015","07:12:00","Convention Center / 4th St. @ MetroRail","Rainey St @ Cummings","8.0"
"Walk Up","461.0","4/1/2015","07:12:00","Republic Square @ Guadalupe & 4th St.","Bullock Museum @ Congress & MLK","13.0"
"Local30","576.0","4/1/2015","07:12:00","5th & San Marcos","5th & Bowie","9.0"
"Local365","765.0","4/1/2015","07:12:00","ACC - West & 12th","8th & Congress","4.0"
"Local365","751.0","4/1/2015","07:12:00","Barton Springs @ Kinney Ave","4th & Congress","15.0"
"7-Day","263.0","4/1/2015","07:12:00","Convention Center / 4th St. @ MetroRail","East 11th St. at Victory Grill","10.0"
"7-Day","235.0","4/1/2015","08:12:00","San Jacinto & 8th Street","Convention Center / 4th St. @ MetroRail","6.0"
"Local365","576.0","4/1/2015","08:12:00","5th & Bowie","4th & Congress","7.0"
"Local365","284.0","4/1/2015","08:12:00","5th & Bowie","8th & Congress","10.0"
"Local365","60.0","4/1/2015","08:12:00","Convention Center / 4th St. @ MetroRail","City Hall / Lavaca & 2nd","6.0"
"7-Day","68.0","4/1/2015","08:12:00","Long Center @ South 1st & Riverside","City Hall / Lavaca & 2nd","5.0"
"7-Day","386.0","4/1/2015","08:12:00","Long Center @ South 1st & Riverside","City Hall / Lavaca & 2nd","5.0"
"Local30","621.0","4/1/2015","08:12:00","5th & Bowie","4th & Congress","6.0"
"7-Day","29.0","4/1/2015","08:12:00","East 11th St. at Victory Grill","Waller & 6th St.","4.0"
"Local30","435.0","4/1/2015","08:12:00","5th & Bowie","8th & Congress","8.0"
"Local365","182.0","4/1/2015","08:12:00","Convention Center / 3rd & Trinity","Long Center @ South 1st & Riverside","10.0"
"Local365","24.0","4/1/2015","08:12:00","Riverside @ S. Lamar","Barton Springs & Riverside","5.0"
"Local30","547.0","4/1/2015","08:12:00","Rainey St @ Cummings","City Hall / Lavaca & 2nd","8.0"
"Local365","420.0","4/1/2015","08:12:00","Rainey St @ Cummings","Nueces @ 3rd","10.0"
"Local365","650.0","4/1/2015","09:12:00","East 11th St. & San Marcos","4th & Congress","9.0"
"Local365","432.0","4/1/2015","09:12:00","Plaza Saltillo","East 6th at Robert Martinez","4.0"
"Local30","266.0","4/1/2015","09:12:00","17th & Guadalupe","4th & Congress","10.0"
"Local365","416.0","4/1/2015","09:12:00","West & 6th St.","2nd & Congress","8.0"
"Local365","998.0","4/1/2015","09:12:00","Convention Center / 4th St. @ MetroRail","8th & Congress","4.0"
"Local365","827.0","4/1/2015","09:12:00","Riverside @ S. Lamar","City Hall / Lavaca & 2nd","8.0"
"Local365","429.0","4/1/2015","09:12:00","5th & San Marcos","Convention Center / 4th St. @ MetroRail","3.0"
"7-Day","386.0","4/1/2015","09:12:00","City Hall / Lavaca & 2nd","5th & Bowie","6.0"
"7-Day","29.0","4/1/2015","09:12:00","Waller & 6th St.","Convention Center / 4th St. @ MetroRail","9.0"
"Local365","975.0","4/1/2015","09:12:00","East 6th at Robert Martinez","East 6th & Pedernales St.","9.0"
"Walk Up","561.0","4/1/2015","09:12:00","East 6th at Robert Martinez","8th & Congress","12.0"
"Local365","479.0","4/1/2015","09:12:00","East 6th at Robert Martinez","City Hall / Lavaca & 2nd","13.0"
"Local30","301.0","4/1/2015","09:12:00","3rd & West","4th & Congress","5.0"
"Semester Membership","925.0","4/1/2015","09:12:00","3rd & West","4th & Congress","5.0"
"Local365","183.0","4/1/2015","09:12:00","San Jacinto & 8th Street","Convention Center / 3rd & Trinity","4.0"
"Local365","55.0","4/1/2015","09:12:00","17th & Guadalupe","8th & Congress","6.0"
"Local365","560.0","4/1/2015","09:12:00","3rd & West","2nd & Congress","6.0"
"Local365","298.0","4/1/2015","09:12:00","Republic Square @ Guadalupe & 4th St.","5th & Bowie","4.0"
"Walk Up","518.0","4/1/2015","09:12:00","ACC - West & 12th","Bullock Museum @ Congress & MLK","12.0"
"Walk Up","466.0","4/1/2015","09:12:00","ACC - West & 12th","Bullock Museum @ Congress & MLK","11.0"
"Local365","89.0","4/1/2015","09:12:00","Pfluger Bridge @ W 2nd Street","2nd & Congress","6.0"
"Local365","465.0","4/1/2015","09:12:00","Barton Springs @ Kinney Ave","City Hall / Lavaca & 2nd","9.0"
"Local365","362.0","4/1/2015","09:12:00","South Congress & Academy","2nd & Congress","6.0"
"Local365","24.0","4/1/2015","09:12:00","Barton Springs & Riverside","Riverside @ S. Lamar","3.0"
"7-Day","298.0","4/1/2015","09:12:00","5th & Bowie","Long Center @ South 1st & Riverside","9.0"
"Local365","897.0","4/1/2015","10:12:00","Barton Springs @ Kinney Ave","Nueces @ 3rd","10.0"
"Local365","849.0","4/1/2015","10:12:00","17th & Guadalupe","West & 6th St.","6.0"
"Local365","874.0","4/1/2015","10:12:00","South Congress & Elizabeth","4th & Congress","9.0"
"Founding Member","965.0","4/1/2015","10:12:00","Republic Square @ Guadalupe & 4th St.","2nd & Congress","5.0"
"Walk Up","439.0","4/1/2015","10:12:00","Rainey St @ Cummings","Rainey St @ Cummings","92.0"
"Local365","232.0","4/1/2015","10:12:00","5th & Bowie","Convention Center / 4th St. @ MetroRail","9.0"
