"Membership Type","Bike","Checkout Date","Checkout Time","Checkout Kiosk","Return Kiosk","Duration (Minutes)"
"Walk Up","28.0","5/1/2015","00:12:00","City Hall / Lavaca & 2nd","8th & Congress","11.0"
"Walk Up","439.0","5/1/2015","00:12:00","City Hall / Lavaca & 2nd","8th & Congress","12.0"
"Walk Up","907.0","5/1/2015","00:12:00","City Hall / Lavaca & 2nd","8th & Congress","11.0"
"Walk Up","528.0","5/1/2015","00:12:00","City Hall / Lavaca & 2nd","8th & Congress","10.0"
"Local365","993.0","5/1/2015","00:12:00","Waller & 6th St.","East 6th at Robert Martinez","6.0"
"Walk Up","153.0","5/1/2015","01:12:00","Trinity & 6th Street","Bullock Museum @ Congress & MLK","11.0"
"Walk Up","882.0","5/1/2015","01:12:00","Trinity & 6th Street","Bullock Museum @ Congress & MLK","11.0"
"Walk Up","432.0","5/1/2015","01:12:00","Guadalupe & 21st","Republic Square @ Guadalupe & 4th St.","9.0"
"Local365","302.0","5/1/2015","01:12:00","Convention Center / 4th St. @ MetroRail","3rd & West","6.0"
"Walk Up","299.0","5/1/2015","01:12:00","2nd & Congress","City Hall / Lavaca & 2nd","15.0"
"Local365","124.0","5/1/2015","01:12:00","4th & Congress","South Congress & James","15.0"
"Walk Up","709.0","5/1/2015","02:12:00","Davis at Rainey Street","2nd & Congress","10.0"
"Walk Up","822.0","5/1/2015","02:12:00","Davis at Rainey Street","Davis at Rainey Street","2.0"
"Walk Up","344.0","5/1/2015","02:12:00","Davis at Rainey Street","2nd & Congress","317.0"
"Walk Up","822.0","5/1/2015","02:12:00","Davis at Rainey Street","2nd & Congress","6.0"
"Local30","983.0","5/1/2015","02:12:00","Bullock Museum @ Congress & MLK","UT West Mall @ Guadalupe","5.0"
"Walk Up","26.0","5/1/2015","02:12:00","8th & Congress","Bullock Museum @ Congress & MLK","8.0"
"Walk Up","306.0","5/1/2015","02:12:00","8th & Congress","Bullock Museum @ Congress & MLK","8.0"
"Walk Up","930.0","5/1/2015","02:12:00","8th & Congress","Bullock Museum @ Congress & MLK","8.0"
"Walk Up","181.0","5/1/2015","02:12:00","8th & Congress","Bullock Museum @ Congress & MLK","7.0"
"Walk Up","398.0","5/1/2015","02:12:00","8th & Congress","Bullock Museum @ Congress & MLK","7.0"
"Founding Member","554.0","5/1/2015","02:12:00","Nueces @ 3rd","Riverside @ S. Lamar","4.0"
"Walk Up","58.0","5/1/2015","02:12:00","17th & Guadalupe","UT West Mall @ Guadalupe","15.0"
"Walk Up","647.0","5/1/2015","03:12:00","Convention Center / 4th St. @ MetroRail","Rainey St @ Cummings","10.0"
"Walk Up","248.0","5/1/2015","03:12:00","Convention Center / 4th St. @ MetroRail","Rainey St @ Cummings","9.0"
"Local30","150.0","5/1/2015","05:12:00","South Congress & Elizabeth","3rd & West","16.0"
"Local30","185.0","5/1/2015","05:12:00","South Congress & Elizabeth","3rd & West","17.0"
"Local365","362.0","5/1/2015","06:12:00","Barton Springs @ Kinney Ave","Nueces @ 3rd","6.0"
"Local30","133.0","5/1/2015","07:12:00","Plaza Saltillo","Capital Metro HQ - East 5th at Broadway","9.0"
"Local365","434.0","5/1/2015","07:12:00","Convention Center / 4th St. @ MetroRail","South Congress & James","11.0"
"Walk Up","709.0","5/1/2015","07:12:00","2nd & Congress","17th & Guadalupe","21.0"
"Local365","668.0","5/1/2015","07:12:00","Rainey St @ Cummings","Riverside @ S. Lamar","12.0"
"Walk Up","410.0","5/1/2015","07:12:00","Palmer Auditorium","Palmer Auditorium","22.0"
"Local365","646.0","5/1/2015","07:12:00","Toomey Rd @ South Lamar","8th & Congress","13.0"
"Local30","442.0","5/1/2015","07:12:00","Palmer Auditorium","2nd & Congress","11.0"
"Local365","133.0","5/1/2015","08:12:00","Capital Metro HQ - East 5th at Broadway","Plaza Saltillo","13.0"
"Local365","965.0","5/1/2015","08:12:00","3rd & West","5th & San Marcos","10.0"
"Local365","209.0","5/1/2015","08:12:00","Convention Center / 4th St. @ MetroRail","5th & Bowie","7.0"
"Local365","897.0","5/1/2015","08:12:00","City Hall / Lavaca & 2nd","5th & Bowie","5.0"
"Local365","89.0","5/1/2015","08:12:00","Rainey St @ Cummings","3rd & West","11.0"
"Local365","132.0","5/1/2015","08:12:00","3rd & West","City Hall / Lavaca & 2nd","4.0"
"Local365","161.0","5/1/2015","08:12:00","5th & Bowie","8th & Congress","10.0"
"Local30","709.0","5/1/2015","08:12:00","17th & Guadalupe","4th & Congress","10.0"
"Walk Up","716.0","5/1/2015","08:12:00","South Congress & James","Riverside @ S. Lamar","18.0"
"Walk Up","895.0","5/1/2015","08:12:00","South Congress & James","Riverside @ S. Lamar","15.0"
"Local30","3.0","5/1/2015","09:12:00","East 11th St. & San Marcos","4th & Congress","8.0"
"Local365","229.0","5/1/2015","09:12:00","Republic Square @ Guadalupe & 4th St.","5th & Bowie","5.0"
"Walk Up","58.0","5/1/2015","09:12:00","Guadalupe & 21st","East 11th St. & San Marcos","15.0"
"Local365","150.0","5/1/2015","09:12:00","3rd & West","San Jacinto & 8th Street","17.0"
"Walk Up","895.0","5/1/2015","09:12:00","Riverside @ S. Lamar","Zilker Park at Barton Springs & William Barton Drive","21.0"
"Walk Up","925.0","5/1/2015","09:12:00","Guadalupe & 21st","East 11th St. & San Marcos","15.0"
"Walk Up","716.0","5/1/2015","09:12:00","Riverside @ S. Lamar","Zilker Park at Barton Springs & William Barton Drive","21.0"
"Walk Up","453.0","5/1/2015","09:12:00","Barton Springs & Riverside","2nd & Congress","10.0"
"Local365","965.0","5/1/2015","09:12:00","5th & San Marcos","Capital Metro HQ - East 5th at Broadway","10.0"
"Local365","89.0","5/1/2015","09:12:00","3rd & West","2nd & Congress","6.0"
"Walk Up","885.0","5/1/2015","09:12:00","South Congress & Elizabeth","East 11th St. & San Marcos","24.0"
"Walk Up","285.0","5/1/2015","09:12:00","South Congress & Elizabeth","East 11th St. & San Marcos","23.0"
"Local365","150.0","5/1/2015","09:12:00","San Jacinto & 8th Street","Rainey St @ Cummings","13.0"
"Local365","230.0","5/1/2015","09:12:00","Barton Springs @ Kinney Ave","Republic Square @ Guadalupe & 4th St.","13.0"
"Local365","550.0","5/1/2015","09:12:00","3rd & West","Convention Center / 3rd & Trinity","11.0"
"Walk Up","895.0","5/1/2015","09:12:00","Zilker Park at Barton Springs & William Barton Drive","Pfluger Bridge @ W 2nd Street","22.0"
"Walk Up","716.0","5/1/2015","09:12:00","Zilker Park at Barton Springs & William Barton Drive","Pfluger Bridge @ W 2nd Street","21.0"
"Local365","150.0","5/1/2015","09:12:00","Rainey St @ Cummings","Long Center @ South 1st & Riverside","14.0"
"Local365","1000.0","5/1/2015","09:12:00","City Hall / Lavaca & 2nd","West & 6th St.","5.0"
"Local365","356.0","5/1/2015","09:12:00","City Hall / Lavaca & 2nd","8th & Congress","4.0"
"Walk Up","453.0","5/1/2015","09:12:00","2nd & Congress","2nd & Congress","121.0"
"Local365","150.0","5/1/2015","09:12:00","Long Center @ South 1st & Riverside","Palmer Auditorium","4.0"
"Walk Up","26.0","5/1/2015","10:12:00","Bullock Museum @ Congress & MLK","Bullock Museum @ Congress & MLK","30.0"
"Walk Up","930.0","5/1/2015","10:12:00","Bullock Museum @ Congress & MLK","Bullock Museum @ Congress & MLK","30.0"
"Local30","228.0","5/1/2015","10:12:00","UT West Mall @ Guadalupe","Guadalupe & 21st","1.0"
