"Membership Type","Bike","Checkout Date","Checkout Time","Checkout Kiosk","Return Kiosk","Duration (Minutes)"
"Walk Up","52.0","6/1/2015","00:12:00","4th & Congress","Nueces @ 3rd","5.0"
"Walk Up","349.0","6/1/2015","00:12:00","4th & Congress","Nueces @ 3rd","5.0"
"Walk Up","332.0","6/1/2015","00:12:00","4th & Congress","Nueces @ 3rd","3.0"
"Local365","247.0","6/1/2015","00:12:00","2nd & Congress","Rainey @ River St","5.0"
"Walk Up","805.0","6/1/2015","00:12:00","Capitol Station / Congress & 11th","Capitol Station / Congress & 11th","47.0"
"Walk Up","235.0","6/1/2015","00:12:00","Capitol Station / Congress & 11th","Capitol Station / Congress & 11th","46.0"
"Walk Up","968.0","6/1/2015","01:12:00","Davis at Rainey Street","Trinity & 6th Street","11.0"
"Walk Up","547.0","6/1/2015","01:12:00","Davis at Rainey Street","Trinity & 6th Street","10.0"
"Walk Up","386.0","6/1/2015","01:12:00","Davis at Rainey Street","Trinity & 6th Street","11.0"
"Walk Up","40.0","6/1/2015","01:12:00","Davis at Rainey Street","Trinity & 6th Street","10.0"
"Walk Up","668.0","6/1/2015","01:12:00","Davis at Rainey Street","Trinity & 6th Street","9.0"
"Walk Up","545.0","6/1/2015","01:12:00","Davis at Rainey Street","Trinity & 6th Street","8.0"
"Walk Up","922.0","6/1/2015","01:12:00","Davis at Rainey Street","Trinity & 6th Street","6.0"
"Walk Up","235.0","6/1/2015","01:12:00","Capitol Station / Congress & 11th","Capitol Station / Congress & 11th","37.0"
"Walk Up","805.0","6/1/2015","01:12:00","Capitol Station / Congress & 11th","Capitol Station / Congress & 11th","36.0"
"Walk Up","400.0","6/1/2015","01:12:00","Trinity & 6th Street","Davis at Rainey Street","7.0"
"Walk Up","668.0","6/1/2015","01:12:00","Trinity & 6th Street","Davis at Rainey Street","7.0"
"Walk Up","968.0","6/1/2015","01:12:00","Trinity & 6th Street","Davis at Rainey Street","7.0"
"Walk Up","40.0","6/1/2015","01:12:00","Trinity & 6th Street","Davis at Rainey Street","6.0"
"Walk Up","545.0","6/1/2015","01:12:00","Trinity & 6th Street","Davis at Rainey Street","6.0"
"Walk Up","749.0","6/1/2015","01:12:00","Trinity & 6th Street","Davis at Rainey Street","6.0"
"Walk Up","386.0","6/1/2015","01:12:00","Trinity & 6th Street","Davis at Rainey Street","5.0"
"Walk Up","235.0","6/1/2015","03:12:00","Capitol Station / Congress & 11th","Red River & 8th Street","488.0"
"Local30","341.0","6/1/2015","05:12:00","Barton Springs & Riverside","Pfluger Bridge @ W 2nd Street","6.0"
"Local30","407.0","6/1/2015","07:12:00","Palmer Auditorium","Convention Center / 4th St. @ MetroRail","11.0"
"Local365","575.0","6/1/2015","07:12:00","Convention Center / 4th St. @ MetroRail","South Congress & Academy","9.0"
"Local30","52.0","6/1/2015","07:12:00","Nueces @ 3rd","Palmer Auditorium","5.0"
"Local30","202.0","6/1/2015","07:12:00","5th & Bowie","4th & Congress","5.0"
"Local365","464.0","6/1/2015","07:12:00","Plaza Saltillo","Capital Metro HQ - East 5th at Broadway","9.0"
"Local365","14.0","6/1/2015","07:12:00","2nd & Congress","8th & Congress","5.0"
"Walk Up","922.0","6/1/2015","07:12:00","Trinity & 6th Street","Convention Center / 4th St. @ MetroRail","10.0"
"Local365","84.0","6/1/2015","07:12:00","Plaza Saltillo","East 6th at Robert Martinez","5.0"
"Local30","910.0","6/1/2015","07:12:00","East 11th St. & San Marcos","4th & Congress","7.0"
"Local30","142.0","6/1/2015","08:12:00","17th & Guadalupe","4th & Congress","8.0"
"Local365","240.0","6/1/2015","08:12:00","5th & Bowie","4th & Congress","6.0"
"Local365","550.0","6/1/2015","08:12:00","5th & Bowie","8th & Congress","10.0"
"Walk Up","52.0","6/1/2015","08:12:00","Palmer Auditorium","Palmer Auditorium","121.0"
"Walk Up","991.0","6/1/2015","08:12:00","Palmer Auditorium","Palmer Auditorium","120.0"
"Local365","470.0","6/1/2015","08:12:00","Capital Metro HQ - East 5th at Broadway","East 11th St. at Victory Grill","12.0"
"Local30","387.0","6/1/2015","08:12:00","5th & Bowie","8th & Congress","8.0"
"Local365","924.0","6/1/2015","08:12:00","East 11th St. & San Marcos","City Hall / Lavaca & 2nd","13.0"
"Local365","127.0","6/1/2015","08:12:00","East 6th at Robert Martinez","8th & Congress","17.0"
"Local365","735.0","6/1/2015","08:12:00","Nueces @ 3rd","5th & Bowie","2.0"
"Local365","332.0","6/1/2015","08:12:00","Nueces @ 3rd","Barton Springs & Riverside","5.0"
"Local30","223.0","6/1/2015","08:12:00","Zilker Park at Barton Springs & William Barton Drive","Republic Square @ Guadalupe & 4th St.","17.0"
"Local365","735.0","6/1/2015","08:12:00","5th & Bowie","4th & Congress","7.0"
"Local365","201.0","6/1/2015","08:12:00","East 6th & Pedernales St.","East 6th at Robert Martinez","2.0"
"Local365","716.0","6/1/2015","08:12:00","5th & Bowie","City Hall / Lavaca & 2nd","5.0"
"Local365","555.0","6/1/2015","08:12:00","5th & Bowie","8th & Congress","8.0"
"Local365","122.0","6/1/2015","08:12:00","Barton Springs @ Kinney Ave","Nueces @ 3rd","7.0"
"Local365","16.0","6/1/2015","08:12:00","Rainey St @ Cummings","Nueces @ 3rd","10.0"
"Local365","150.0","6/1/2015","08:12:00","Rainey St @ Cummings","West & 6th St.","12.0"
"Local365","152.0","6/1/2015","08:12:00","3rd & West","3rd & West","10.0"
"Founding Member","529.0","6/1/2015","08:12:00","4th & Congress","8th & Congress","4.0"
"Local365","201.0","6/1/2015","08:12:00","East 6th at Robert Martinez","East 6th & Pedernales St.","3.0"
"Local365","924.0","6/1/2015","08:12:00","City Hall / Lavaca & 2nd","2nd & Congress","3.0"
"Local365","670.0","6/1/2015","08:12:00","5th & San Marcos","4th & Congress","5.0"
"Local365","303.0","6/1/2015","08:12:00","2nd & Congress","Capital Metro HQ - East 5th at Broadway","16.0"
"Walk Up","78.0","6/1/2015","09:12:00","Convention Center / 3rd & Trinity","Convention Center / 3rd & Trinity","71.0"
"Local365","277.0","6/1/2015","09:12:00","3rd & West","4th & Congress","6.0"
"Walk Up","299.0","6/1/2015","09:12:00","Convention Center / 3rd & Trinity","Convention Center / 3rd & Trinity","71.0"
"Local365","716.0","6/1/2015","09:12:00","City Hall / Lavaca & 2nd","3rd & West","3.0"
"Local365","153.0","6/1/2015","09:12:00","Plaza Saltillo","East 6th & Pedernales St.","6.0"
"Local365","406.0","6/1/2015","09:12:00","Plaza Saltillo","East 6th & Pedernales St.","7.0"
"Walk Up","862.0","6/1/2015","09:12:00","Barton Springs & Riverside","State Capitol @ 14th & Colorado","30.0"
"Walk Up","165.0","6/1/2015","09:12:00","Barton Springs & Riverside","State Capitol @ 14th & Colorado","27.0"
"Local365","86.0","6/1/2015","09:12:00","Convention Center / 4th St. @ MetroRail","3rd & West","8.0"
"Local365","407.0","6/1/2015","09:12:00","Convention Center / 4th St. @ MetroRail","Barton Springs & Riverside","12.0"
"Local365","428.0","6/1/2015","09:12:00","Convention Center / 4th St. @ MetroRail","City Hall / Lavaca & 2nd","4.0"
"Local365","593.0","6/1/2015","09:12:00","State Capitol Visitors Garage @ San Jacinto & 12th","Main Office","26.0"
"Local365","995.0","6/1/2015","09:12:00","East 6th & Pedernales St.","Capital Metro HQ - East 5th at Broadway","3.0"
"Local365","371.0","6/1/2015","09:12:00","17th & Guadalupe","5th & Bowie","8.0"
"Local365","561.0","6/1/2015","09:12:00","East 6th at Robert Martinez","City Hall / Lavaca & 2nd","16.0"
"Local365","25.0","6/1/2015","09:12:00","8th & Congress","2nd & Congress","5.0"
"Local365","262.0","6/1/2015","09:12:00","Palmer Auditorium","5th & Bowie","30.0"
"Walk Up","352.0","6/1/2015","09:12:00","San Jacinto & 8th Street","Capitol Station / Congress & 11th","5.0"
"Walk Up","429.0","6/1/2015","09:12:00","San Jacinto & 8th Street","Capitol Station / Congress & 11th","5.0"
"Walk Up","165.0","6/1/2015","09:12:00","State Capitol @ 14th & Colorado","Barton Springs & Riverside","36.0"
"Walk Up","862.0","6/1/2015","09:12:00","State Capitol @ 14th & Colorado","Barton Springs & Riverside","34.0"
"Local365","897.0","6/1/2015","09:12:00","Convention Center / 4th St. @ MetroRail","8th & Congress","5.0"
"Walk Up","356.0","6/1/2015","09:12:00","2nd & Congress","2nd & Congress","191.0"
"Local365","451.0","6/1/2015","09:12:00","8th & Congress","City Hall / Lavaca & 2nd","3.0"
"Walk Up","934.0","6/1/2015","09:12:00","2nd & Congress","2nd & Congress","190.0"
"Local365","252.0","6/1/2015","09:12:00","Pfluger Bridge @ W 2nd Street","4th & Congress","7.0"
"Local30","242.0","6/1/2015","09:12:00","Long Center @ South 1st & Riverside","8th & Congress","8.0"
"Walk Up","25.0","6/1/2015","09:12:00","2nd & Congress","2nd & Congress","53.0"
"Walk Up","421.0","6/1/2015","09:12:00","2nd & Congress","2nd & Congress","51.0"
"Local365","41.0","6/1/2015","09:12:00","Rainey St @ Cummings","4th & Congress","10.0"
"Local365","188.0","6/1/2015","10:12:00","Waller & 6th St.","Rainey St @ Cummings","7.0"
"Local365","198.0","6/1/2015","10:12:00","Convention Center / 4th St. @ MetroRail","West & 6th St.","6.0"
"Founding Member","19.0","6/1/2015","10:12:00","Capitol Station / Congress & 11th","City Hall / Lavaca & 2nd","7.0"
"Walk Up","352.0","6/1/2015","10:12:00","Capitol Station / Congress & 11th","UT West Mall @ Guadalupe","15.0"
"Walk Up","805.0","6/1/2015","10:12:00","Capitol Station / Congress & 11th","UT West Mall @ Guadalupe","14.0"
"Local365","254.0","6/1/2015","10:12:00","5th & Bowie","5th & San Marcos","10.0"
"Local365","420.0","6/1/2015","10:12:00","East 11th St. & San Marcos","San Jacinto & 8th Street","5.0"
"Walk Up","560.0","6/1/2015","10:12:00","Waller & 6th St.","5th & Bowie","38.0"
"Walk Up","853.0","6/1/2015","10:12:00","Waller & 6th St.","5th & Bowie","37.0"
"Walk Up","661.0","6/1/2015","10:12:00","Waller & 6th St.","5th & Bowie","36.0"
"Local365","247.0","6/1/2015","10:12:00","Rainey @ River St","8th & Congress","9.0"
"Walk Up","113.0","6/1/2015","10:12:00","UT West Mall @ Guadalupe","Convention Center / 4th St. @ MetroRail","81.0"
"Walk Up","347.0","6/1/2015","10:12:00","East 11th St. & San Marcos","East 11th St. & San Marcos","96.0"
"Walk Up","979.0","6/1/2015","10:12:00","East 11th St. & San Marcos","East 11th St. & San Marcos","95.0"
"Walk Up","220.0","6/1/2015","10:12:00","2nd & Congress","Guadalupe & 21st","18.0"
"Local30","15.0","6/1/2015","10:12:00","UT West Mall @ Guadalupe","ACC - West & 12th","9.0"
"Walk Up","209.0","6/1/2015","10:12:00","Capitol Station / Congress & 11th","Guadalupe & 21st","16.0"
"Walk Up","861.0","6/1/2015","10:12:00","5th & Bowie","Toomey Rd @ South Lamar","18.0"
"Walk Up","188.0","6/1/2015","10:12:00","Rainey St @ Cummings","Rainey St @ Cummings","35.0"
"Walk Up","116.0","6/1/2015","10:12:00","Rainey St @ Cummings","Rainey St @ Cummings","34.0"
"Founding Member","202.0","6/1/2015","10:12:00","4th & Congress","8th & Congress","2.0"
"Walk Up","843.0","6/1/2015","10:12:00","Guadalupe & 21st","Nueces @ 3rd","16.0"
"Local365","862.0","6/1/2015","10:12:00","Barton Springs & Riverside","Waller & 6th St.","30.0"
"Walk Up","25.0","6/1/2015","10:12:00","2nd & Congress","2nd & Congress","97.0"
"Walk Up","924.0","6/1/2015","10:12:00","2nd & Congress","2nd & Congress","96.0"
"Local365","176.0","6/1/2015","10:12:00","2nd & Congress","8th & Congress","6.0"
"Walk Up","421.0","6/1/2015","10:12:00","2nd & Congress","8th & Congress","6.0"
"Walk Up","229.0","6/1/2015","11:12:00","UT West Mall @ Guadalupe","San Jacinto & 8th Street","15.0"
"Walk Up","503.0","6/1/2015","11:12:00","UT West Mall @ Guadalupe","San Jacinto & 8th Street","15.0"
"Walk Up","141.0","6/1/2015","11:12:00","Toomey Rd @ South Lamar","17th & Guadalupe","18.0"
"Walk Up","815.0","6/1/2015","11:12:00","Nueces @ 3rd","Nueces @ 3rd","126.0"
"Walk Up","122.0","6/1/2015","11:12:00","Nueces @ 3rd","Nueces @ 3rd","125.0"
"Walk Up","157.0","6/1/2015","11:12:00","Nueces @ 3rd","Nueces @ 3rd","125.0"
"Walk Up","209.0","6/1/2015","11:12:00","Guadalupe & 21st","Bullock Museum @ Congress & MLK","34.0"
"Walk Up","843.0","6/1/2015","11:12:00","Nueces @ 3rd","Pfluger Bridge @ W 2nd Street","6.0"
"Local30","75.0","6/1/2015","11:12:00","South Congress & Elizabeth","4th & Congress","9.0"
"Walk Up","134.0","6/1/2015","11:12:00","Convention Center / 4th St. @ MetroRail","South Congress & James","15.0"
"Walk Up","228.0","6/1/2015","11:12:00","Convention Center / 4th St. @ MetroRail","South Congress & James","15.0"
"Walk Up","478.0","6/1/2015","11:12:00","UT West Mall @ Guadalupe","Capitol Station / Congress & 11th","10.0"
"Walk Up","282.0","6/1/2015","11:12:00","City Hall / Lavaca & 2nd","South Congress & James","12.0"
"Walk Up","961.0","6/1/2015","11:12:00","City Hall / Lavaca & 2nd","South Congress & James","12.0"
"Walk Up","284.0","6/1/2015","11:12:00","Riverside @ S. Lamar","City Hall / Lavaca & 2nd","43.0"
"Walk Up","919.0","6/1/2015","11:12:00","Riverside @ S. Lamar","City Hall / Lavaca & 2nd","42.0"
"Walk Up","647.0","6/1/2015","11:12:00","Riverside @ S. Lamar","Riverside @ S. Lamar","59.0"
"Local365","922.0","6/1/2015","11:12:00","Convention Center / 4th St. @ MetroRail","2nd & Congress","3.0"
"Founding Member","965.0","6/1/2015","11:12:00","Republic Square @ Guadalupe & 4th St.","2nd & Congress","6.0"
"Walk Up","220.0","6/1/2015","11:12:00","Guadalupe & 21st","Guadalupe & 21st","25.0"
"Local30","212.0","6/1/2015","11:12:00","East 11th St. & San Marcos","2nd & Congress","11.0"
"Local365","593.0","6/1/2015","11:12:00","Main Office","State Capitol Visitors Garage @ San Jacinto & 12th","12.0"
"Walk Up","2459.0","6/1/2015","11:12:00","Riverside @ S. Lamar","Riverside @ S. Lamar","128.0"
"Walk Up","263.0","6/1/2015","11:12:00","Riverside @ S. Lamar","Riverside @ S. Lamar","126.0"
"Local365","422.0","6/1/2015","11:12:00","East 11th St. & San Marcos","Capital Metro HQ - East 5th at Broadway","13.0"
"Walk Up","870.0","6/1/2015","11:12:00","South Congress & Academy","2nd & Congress","11.0"
