"Membership Type","Bike","Checkout Date","Checkout Time","Checkout Kiosk","Return Kiosk","Duration (Minutes)"
"Walk Up","340.0","2/1/2015","00:12:00","UT West Mall @ Guadalupe","4th & Congress","19.0"
"Walk Up","1000.0","2/1/2015","00:12:00","4th & Congress","East 6th at Robert Martinez","29.0"
"Walk Up","863.0","2/1/2015","01:12:00","Convention Center / 4th St. @ MetroRail","Davis at Rainey Street","11.0"
"Walk Up","878.0","2/1/2015","01:12:00","Convention Center / 4th St. @ MetroRail","Davis at Rainey Street","11.0"
"Walk Up","827.0","2/1/2015","01:12:00","Convention Center / 4th St. @ MetroRail","Davis at Rainey Street","10.0"
"Walk Up","161.0","2/1/2015","01:12:00","Convention Center / 4th St. @ MetroRail","Davis at Rainey Street","7.0"
"Walk Up","432.0","2/1/2015","01:12:00","Convention Center / 4th St. @ MetroRail","Davis at Rainey Street","7.0"
"Walk Up","49.0","2/1/2015","01:12:00","Convention Center / 4th St. @ MetroRail","Davis at Rainey Street","5.0"
"Local365","854.0","2/1/2015","01:12:00","4th & Congress","Pfluger Bridge @ W 2nd Street","8.0"
"Walk Up","78.0","2/1/2015","02:12:00","East 6th & Pedernales St.","Trinity & 6th Street","15.0"
"Walk Up","263.0","2/1/2015","04:12:00","Convention Center / 4th St. @ MetroRail","Convention Center / 4th St. @ MetroRail","12.0"
"Walk Up","690.0","2/1/2015","04:12:00","UT West Mall @ Guadalupe","Bullock Museum @ Congress & MLK","32.0"
"Walk Up","164.0","2/1/2015","04:12:00","UT West Mall @ Guadalupe","Bullock Museum @ Congress & MLK","31.0"
"Walk Up","263.0","2/1/2015","04:12:00","Convention Center / 4th St. @ MetroRail","Convention Center / 4th St. @ MetroRail","11.0"
"Walk Up","575.0","2/1/2015","05:12:00","Bullock Museum @ Congress & MLK","Bullock Museum @ Congress & MLK","28.0"
"Walk Up","164.0","2/1/2015","05:12:00","Bullock Museum @ Congress & MLK","Bullock Museum @ Congress & MLK","27.0"
"Walk Up","164.0","2/1/2015","05:12:00","Bullock Museum @ Congress & MLK","Bullock Museum @ Congress & MLK","30.0"
"Walk Up","575.0","2/1/2015","05:12:00","Bullock Museum @ Congress & MLK","Bullock Museum @ Congress & MLK","29.0"
"Walk Up","434.0","2/1/2015","06:12:00","Bullock Museum @ Congress & MLK","UT West Mall @ Guadalupe","10.0"
"Walk Up","164.0","2/1/2015","06:12:00","Bullock Museum @ Congress & MLK","UT West Mall @ Guadalupe","9.0"
"Walk Up","434.0","2/1/2015","06:12:00","UT West Mall @ Guadalupe","UT West Mall @ Guadalupe","23.0"
"Walk Up","164.0","2/1/2015","06:12:00","UT West Mall @ Guadalupe","UT West Mall @ Guadalupe","21.0"
"Walk Up","434.0","2/1/2015","06:12:00","UT West Mall @ Guadalupe","Guadalupe & 21st","6.0"
"Walk Up","164.0","2/1/2015","06:12:00","UT West Mall @ Guadalupe","Guadalupe & 21st","5.0"
"Walk Up","539.0","2/1/2015","07:12:00","State Capitol @ 14th & Colorado","State Capitol @ 14th & Colorado","37.0"
"Walk Up","135.0","2/1/2015","07:12:00","State Capitol @ 14th & Colorado","State Capitol @ 14th & Colorado","7.0"
"Walk Up","520.0","2/1/2015","07:12:00","State Capitol @ 14th & Colorado","State Capitol @ 14th & Colorado","36.0"
"Walk Up","479.0","2/1/2015","07:12:00","Guadalupe & 21st","UT West Mall @ Guadalupe","24.0"
"Walk Up","815.0","2/1/2015","07:12:00","Guadalupe & 21st","UT West Mall @ Guadalupe","23.0"
"Local365","288.0","2/1/2015","08:12:00","Pfluger Bridge @ W 2nd Street","4th & Congress","5.0"
"Local365","306.0","2/1/2015","08:12:00","Rainey St @ Cummings","Davis at Rainey Street","21.0"
"Local30","298.0","2/1/2015","09:12:00","South Congress & Elizabeth","5th & Bowie","19.0"
"Local30","397.0","2/1/2015","09:12:00","South Congress & Elizabeth","5th & Bowie","19.0"
"Walk Up","221.0","2/1/2015","09:12:00","West & 6th St.","UT West Mall @ Guadalupe","15.0"
"Walk Up","661.0","2/1/2015","09:12:00","17th & Guadalupe","2nd & Congress","12.0"
"Walk Up","576.0","2/1/2015","09:12:00","17th & Guadalupe","2nd & Congress","10.0"
"Local30","301.0","2/1/2015","09:12:00","5th & Bowie","South Congress & Elizabeth","19.0"
"Local30","367.0","2/1/2015","09:12:00","5th & Bowie","South Congress & Elizabeth","19.0"
"Walk Up","669.0","2/1/2015","09:12:00","Rainey St @ Cummings","Zilker Park at Barton Springs & William Barton Drive","48.0"
"Walk Up","815.0","2/1/2015","09:12:00","UT West Mall @ Guadalupe","Bullock Museum @ Congress & MLK","38.0"
"Local365","288.0","2/1/2015","09:12:00","4th & Congress","Pfluger Bridge @ W 2nd Street","7.0"
"Walk Up","135.0","2/1/2015","09:12:00","State Capitol @ 14th & Colorado","State Capitol @ 14th & Colorado","85.0"
"Walk Up","539.0","2/1/2015","09:12:00","State Capitol @ 14th & Colorado","State Capitol @ 14th & Colorado","85.0"
"Local30","301.0","2/1/2015","10:12:00","South Congress & Elizabeth","5th & Bowie","16.0"
"Local30","367.0","2/1/2015","10:12:00","South Congress & Elizabeth","5th & Bowie","14.0"
"Walk Up","209.0","2/1/2015","10:12:00","Toomey Rd @ South Lamar","Riverside @ S. Lamar","58.0"
"Walk Up","925.0","2/1/2015","10:12:00","East 11th St. & San Marcos","Barton Springs & Riverside","14.0"
"Walk Up","30.0","2/1/2015","10:12:00","East 11th St. & San Marcos","East 11th St. at Victory Grill","237.0"
"Local30","367.0","2/1/2015","10:12:00","5th & Bowie","South Congress & Elizabeth","14.0"
"Walk Up","765.0","2/1/2015","10:12:00","City Hall / Lavaca & 2nd","City Hall / Lavaca & 2nd","25.0"
"Walk Up","354.0","2/1/2015","10:12:00","City Hall / Lavaca & 2nd","City Hall / Lavaca & 2nd","24.0"
"Walk Up","610.0","2/1/2015","10:12:00","City Hall / Lavaca & 2nd","City Hall / Lavaca & 2nd","24.0"
"Walk Up","815.0","2/1/2015","10:12:00","Bullock Museum @ Congress & MLK","West & 6th St.","12.0"
"Local365","303.0","2/1/2015","10:12:00","East 6th at Robert Martinez","East 6th at Robert Martinez","8.0"
"Walk Up","894.0","2/1/2015","10:12:00","2nd & Congress","Zilker Park at Barton Springs & William Barton Drive","29.0"
"Walk Up","464.0","2/1/2015","10:12:00","Riverside @ S. Lamar","Riverside @ S. Lamar","71.0"
"Walk Up","890.0","2/1/2015","10:12:00","2nd & Congress","Zilker Park at Barton Springs & William Barton Drive","28.0"
"Walk Up","88.0","2/1/2015","10:12:00","State Capitol @ 14th & Colorado","State Capitol @ 14th & Colorado","37.0"
"Local30","301.0","2/1/2015","10:12:00","5th & Bowie","South Congress & Elizabeth","19.0"
"Local365","37.0","2/1/2015","11:12:00","Republic Square @ Guadalupe & 4th St.","5th & Bowie","5.0"
"Walk Up","193.0","2/1/2015","11:12:00","UT West Mall @ Guadalupe","UT West Mall @ Guadalupe","11.0"
"Walk Up","479.0","2/1/2015","11:12:00","UT West Mall @ Guadalupe","UT West Mall @ Guadalupe","11.0"
