"Membership Type","Bike","Checkout Date","Checkout Time","Checkout Kiosk","Return Kiosk","Duration (Minutes)"
"Walk Up","153.0","8/1/2015","00:12:00","Pfluger Bridge @ W 2nd Street","Pfluger Bridge @ W 2nd Street","22.0"
"Local365","685.0","8/1/2015","00:12:00","2nd & Congress","Rainey St @ Cummings","10.0"
"Walk Up","735.0","8/1/2015","00:12:00","Pfluger Bridge @ W 2nd Street","Pfluger Bridge @ W 2nd Street","21.0"
"Walk Up","911.0","8/1/2015","00:12:00","Pfluger Bridge @ W 2nd Street","Pfluger Bridge @ W 2nd Street","20.0"
"Local365","451.0","8/1/2015","00:12:00","East 11th St. & San Marcos","5th & San Marcos","4.0"
"Walk Up","27.0","8/1/2015","00:12:00","Trinity & 6th Street","East 6th at Robert Martinez","22.0"
"Walk Up","439.0","8/1/2015","00:12:00","Barton Springs @ Kinney Ave","Convention Center / 3rd & Trinity","14.0"
"Walk Up","728.0","8/1/2015","00:12:00","West & 6th St.","East 11th St. & San Marcos","18.0"
"Weekender","55.0","8/1/2015","00:12:00","South Congress & James","Convention Center / 3rd & Trinity","26.0"
"Walk Up","546.0","8/1/2015","00:12:00","West & 6th St.","East 11th St. & San Marcos","17.0"
"Weekender","428.0","8/1/2015","00:12:00","South Congress & James","Convention Center / 3rd & Trinity","25.0"
"Local365","207.0","8/1/2015","00:12:00","Trinity & 6th Street","West & 6th St.","20.0"
"Walk Up","864.0","8/1/2015","00:12:00","Capitol Station / Congress & 11th","4th & Congress","9.0"
"Walk Up","539.0","8/1/2015","00:12:00","Capitol Station / Congress & 11th","4th & Congress","7.0"
"Walk Up","288.0","8/1/2015","01:12:00","East 11th St. & San Marcos","East 11th St. at Victory Grill","1.0"
"Walk Up","106.0","8/1/2015","01:12:00","Convention Center / 3rd & Trinity","Barton Springs @ Kinney Ave","14.0"
"Walk Up","178.0","8/1/2015","01:12:00","4th & Congress","Barton Springs & Riverside","8.0"
"Walk Up","938.0","8/1/2015","01:12:00","4th & Congress","Barton Springs & Riverside","8.0"
"Walk Up","867.0","8/1/2015","01:12:00","8th & Congress","Guadalupe & 21st","19.0"
"Walk Up","384.0","8/1/2015","01:12:00","8th & Congress","Guadalupe & 21st","18.0"
"Local30","974.0","8/1/2015","02:12:00","UT West Mall @ Guadalupe","East 11th St. & San Marcos","13.0"
"Walk Up","198.0","8/1/2015","02:12:00","Trinity & 6th Street","East 6th & Pedernales St.","18.0"
"Walk Up","540.0","8/1/2015","02:12:00","Long Center @ South 1st & Riverside","ACC - Rio Grande & 12th","25.0"
"Walk Up","646.0","8/1/2015","02:12:00","Long Center @ South 1st & Riverside","ACC - Rio Grande & 12th","25.0"
"Local365","349.0","8/1/2015","02:12:00","Riverside @ S. Lamar","ACC - West & 12th","5.0"
"Walk Up","252.0","8/1/2015","02:12:00","Plaza Saltillo","Rainey @ River St","22.0"
"Walk Up","356.0","8/1/2015","02:12:00","City Hall / Lavaca & 2nd","Long Center @ South 1st & Riverside","5.0"
"Local30","72.0","8/1/2015","02:12:00","City Hall / Lavaca & 2nd","Long Center @ South 1st & Riverside","4.0"
"Walk Up","765.0","8/1/2015","02:12:00","Pfluger Bridge @ W 2nd Street","Pfluger Bridge @ W 2nd Street","13.0"
"Walk Up","735.0","8/1/2015","02:12:00","Pfluger Bridge @ W 2nd Street","Pfluger Bridge @ W 2nd Street","12.0"
"Walk Up","72.0","8/1/2015","03:12:00","Long Center @ South 1st & Riverside","Rainey St @ Cummings","12.0"
"Local30","356.0","8/1/2015","03:12:00","Long Center @ South 1st & Riverside","Rainey St @ Cummings","13.0"
"Walk Up","202.0","8/1/2015","04:12:00","Davis at Rainey Street","Rainey St @ Cummings","2.0"
"Walk Up","306.0","8/1/2015","04:12:00","Red River & 8th Street","Capital Metro HQ - East 5th at Broadway","12.0"
"Local30","951.0","8/1/2015","05:12:00","Palmer Auditorium","Convention Center / 3rd & Trinity","9.0"
"Walk Up","735.0","8/1/2015","06:12:00","Pfluger Bridge @ W 2nd Street","Pfluger Bridge @ W 2nd Street","31.0"
"Walk Up","774.0","8/1/2015","07:12:00","South Congress & Academy","South Congress & James","41.0"
"Local30","41.0","8/1/2015","07:12:00","Red River & 8th Street","Red River & 8th Street","13.0"
"Walk Up","356.0","8/1/2015","07:12:00","Rainey St @ Cummings","Rainey St @ Cummings","67.0"
"Walk Up","72.0","8/1/2015","07:12:00","Rainey St @ Cummings","Rainey St @ Cummings","66.0"
"Walk Up","547.0","8/1/2015","07:12:00","Barton Springs @ Kinney Ave","2nd & Congress","26.0"
"Walk Up","1000.0","8/1/2015","07:12:00","Barton Springs @ Kinney Ave","2nd & Congress","26.0"
"Walk Up","863.0","8/1/2015","07:12:00","Rainey St @ Cummings","Rainey St @ Cummings","74.0"
"Walk Up","198.0","8/1/2015","07:12:00","East 6th & Pedernales St.","East 6th & Pedernales St.","143.0"
"Local365","354.0","8/1/2015","07:12:00","3rd & West","Zilker Park at Barton Springs & William Barton Drive","8.0"
