"Membership Type","Bike","Checkout Date","Checkout Time","Checkout Kiosk","Return Kiosk","Duration (Minutes)"
"Weekender","124.0","9/1/2015","11:12:30","Guadalupe & 21st","East 11th St. & San Marcos","21.0"
"Weekender","746.0","9/1/2015","12:12:19","Rainey St @ Cummings","Barton Springs @ Kinney Ave","21.0"
"Weekender","746.0","9/1/2015","11:12:28","East 11th St. & San Marcos","East 4th & Chicon","0.0"
"Weekender","930.0","9/1/2015","17:12:29","Zilker Park","3rd & West","11.0"
"Walk Up","822.0","9/1/2015","08:12:44","Nueces @ 3rd","8th & Congress","8.0"
"Walk Up","579.0","9/1/2015","06:12:38","8th & Congress","8th & Congress","12.0"
"Walk Up","668.0","9/1/2015","17:12:40","Convention Center / 4th St. @ MetroRail","Riverside @ S. Lamar","18.0"
"Walk Up","399.0","9/1/2015","17:12:01","Convention Center / 4th St. @ MetroRail","Riverside @ S. Lamar","17.0"
"Walk Up","165.0","9/1/2015","10:12:22","4th & Congress","South Congress & Elizabeth","13.0"
"Walk Up","663.0","9/1/2015","11:12:44","5th & Bowie","Republic Square @ Guadalupe & 4th St.","4.0"
"Walk Up","37.0","9/1/2015","19:12:45","11th & San Jacinto","Rainey @ River St","14.0"
"Walk Up","64.0","9/1/2015","12:12:59","City Hall / Lavaca & 2nd","Riverside @ S. Lamar","14.0"
"Walk Up","64.0","9/1/2015","12:12:37","Riverside @ S. Lamar","Davis at Rainey Street","25.0"
"Walk Up","911.0","9/1/2015","19:12:27","South Congress & Academy","2nd & Congress","13.0"
"Walk Up","911.0","9/1/2015","17:12:13","West & 6th St.","South Congress & Academy","23.0"
"Walk Up","934.0","9/1/2015","18:12:02","2nd & Congress","West & 6th St.","5.0"
"Walk Up","213.0","9/1/2015","18:12:39","2nd & Congress","2nd & Congress","8.0"
"Walk Up","890.0","9/1/2015","21:12:05","Waller & 6th St.","8th & Congress","16.0"
"Walk Up","85.0","9/1/2015","17:12:41","Rainey @ River St","Barton Springs & Riverside","29.0"
"Walk Up","747.0","9/1/2015","17:12:29","2nd & Congress","2nd & Congress","128.0"
"Walk Up","160.0","9/1/2015","20:12:02","Barton Springs Pool","Rainey @ River St","25.0"
"Walk Up","160.0","9/1/2015","18:12:30","Rainey @ River St","City Hall / Lavaca & 2nd","16.0"
"Walk Up","160.0","9/1/2015","20:12:37","Zilker Park","Barton Springs Pool","6.0"
"Walk Up","79.0","9/1/2015","19:12:06","Pfluger Bridge @ W 2nd Street","Pfluger Bridge @ W 2nd Street","32.0"
"Walk Up","277.0","9/1/2015","19:12:23","Riverside @ S. Lamar","Riverside @ S. Lamar","45.0"
"Walk Up","84.0","9/1/2015","19:12:10","South Congress & James","Davis at Rainey Street","29.0"
"Walk Up","561.0","9/1/2015","22:12:04","Davis at Rainey Street","Long Center @ South 1st & Riverside","12.0"
"Walk Up","263.0","9/1/2015","19:12:08","South Congress & James","Davis at Rainey Street","28.0"
"Walk Up","158.0","9/1/2015","20:12:42","UT West Mall @ Guadalupe","UT West Mall @ Guadalupe","67.0"
"Walk Up","660.0","9/1/2015","20:12:19","3rd & West","3rd & West","28.0"
"Walk Up","864.0","9/1/2015","21:12:43","City Hall / Lavaca & 2nd","City Hall / Lavaca & 2nd","1.0"
"Walk Up","169.0","9/1/2015","21:12:44","City Hall / Lavaca & 2nd","South Congress & Academy","25.0"
"Walk Up","182.0","9/1/2015","07:12:17","8th & Congress","Nueces @ 3rd","4.0"
"Walk Up","893.0","9/1/2015","08:12:38","Rainey St @ Cummings","Convention Center / 3rd & Trinity","7.0"
"Walk Up","106.0","9/1/2015","10:12:15","Palmer Auditorium","Barton Springs @ Kinney Ave","50.0"
"Walk Up","277.0","9/1/2015","10:12:42","Riverside @ S. Lamar","Riverside @ S. Lamar","23.0"
"Walk Up","64.0","9/1/2015","11:12:30","11th & San Jacinto","City Hall / Lavaca & 2nd","16.0"
"Walk Up","440.0","9/1/2015","12:12:19","City Hall / Lavaca & 2nd","City Hall / Lavaca & 2nd","9.0"
"Walk Up","213.0","9/1/2015","15:12:58","South Congress & Academy","2nd & Congress","11.0"
"Walk Up","544.0","9/1/2015","15:12:15","Barton Springs & Riverside","Barton Springs & Riverside","41.0"
"Walk Up","20.0","9/1/2015","17:12:03","West & 6th St.","2nd & Congress","6.0"
"Walk Up","209.0","9/1/2015","17:12:03","Riverside @ S. Lamar","Riverside @ S. Lamar","80.0"
"Walk Up","894.0","9/1/2015","19:12:18","Rainey St @ Cummings","South Congress & Elizabeth","19.0"
"Walk Up","850.0","9/1/2015","19:12:45","Pfluger Bridge @ W 2nd Street","Pfluger Bridge @ W 2nd Street","35.0"
"Walk Up","160.0","9/1/2015","19:12:54","City Hall / Lavaca & 2nd","Zilker Park","21.0"
"Walk Up","158.0","9/1/2015","20:12:14","San Jacinto & 8th Street","UT West Mall @ Guadalupe","22.0"
"Walk Up","15.0","9/1/2015","21:12:52","Red River & 8th Street","2nd & Congress","17.0"
"Walk Up","68.0","9/1/2015","09:12:55","Barton Springs Pool","Barton Springs Pool","16.0"
"Walk Up","894.0","9/1/2015","11:12:28","11th & San Jacinto","City Hall / Lavaca & 2nd","16.0"
"Walk Up","105.0","9/1/2015","12:12:15","San Jacinto & 8th Street","Plaza Saltillo","23.0"
"Walk Up","479.0","9/1/2015","12:12:49","City Hall / Lavaca & 2nd","City Hall / Lavaca & 2nd","17.0"
"Walk Up","951.0","9/1/2015","13:12:47","Plaza Saltillo","West & 6th St.","0.0"
"Walk Up","30.0","9/1/2015","17:12:36","8th & Congress","Riverside @ S. Lamar","34.0"
"Walk Up","176.0","9/1/2015","19:12:55","Barton Springs @ Kinney Ave","2nd & Congress","72.0"
"Walk Up","558.0","9/1/2015","19:12:25","Riverside @ S. Lamar","Riverside @ S. Lamar","46.0"
"Weekender","188.0","9/1/2015","20:12:18","Long Center @ South 1st & Riverside","Davis at Rainey Street","14.0"
"Walk Up","306.0","9/1/2015","21:12:38","Waller & 6th St.","8th & Congress","16.0"
"Walk Up","158.0","9/1/2015","21:12:50","UT West Mall @ Guadalupe","San Jacinto & 8th Street","14.0"
"Explorer","315.0","9/1/2015","08:12:20","Convention Center / 3rd & Trinity","3rd & West","11.0"
"Walk Up","104.0","9/1/2015","14:12:55","5th & Bowie","City Hall / Lavaca & 2nd","7.0"
"Walk Up","544.0","9/1/2015","18:12:28","Barton Springs & Riverside","Barton Springs & Riverside","11.0"
"Walk Up","22.0","9/1/2015","19:12:47","Barton Springs @ Kinney Ave","2nd & Congress","74.0"
"Walk Up","229.0","9/1/2015","19:12:41","Rainey St @ Cummings","South Congress & Elizabeth","20.0"
"Walk Up","387.0","9/1/2015","19:12:22","Riverside @ S. Lamar","Waller & 6th St.","24.0"
"Walk Up","55.0","9/1/2015","19:12:09","Pfluger Bridge @ W 2nd Street","Pfluger Bridge @ W 2nd Street","31.0"
"Walk Up","110.0","9/1/2015","20:12:03","UT West Mall @ Guadalupe","UT West Mall @ Guadalupe","66.0"
"Walk Up","54.0","9/1/2015","20:12:28","South Congress & Elizabeth","Rainey St @ Cummings","15.0"
"Walk Up","453.0","9/1/2015","20:12:43","South Congress & Elizabeth","Rainey St @ Cummings","15.0"
"Walk Up","823.0","9/1/2015","21:12:52","City Hall / Lavaca & 2nd","South Congress & Academy","27.0"
"Walk Up","22.0","9/1/2015","21:12:57","2nd & Congress","2nd & Congress","67.0"
"Walk Up","37.0","9/1/2015","21:12:42","Rainey @ River St","8th & Congress","9.0"
"Walk Up","683.0","9/1/2015","22:12:23","Davis at Rainey Street","Davis at Rainey Street","0.0"
"Weekender","685.0","9/1/2015","23:12:31","Davis at Rainey Street","Long Center @ South 1st & Riverside","11.0"
"Walk Up","106.0","9/1/2015","09:12:33","4th & Congress","Palmer Auditorium","10.0"
