"Membership Type","Bike","Checkout Date","Checkout Time","Checkout Kiosk","Return Kiosk","Duration (Minutes)"
"Annual Membership (Austin B-cycle)","466.0","6/1/2014","00:12:00","Trinity & 6th Street","Davis at Rainey Street","4.0"
"24-Hour Kiosk (Austin B-cycle)","277.0","6/1/2014","00:12:00","UT West Mall @ Guadalupe","4th & Congress","36.0"
"24-Hour Kiosk (Austin B-cycle)","153.0","6/1/2014","00:12:00","UT West Mall @ Guadalupe","4th & Congress","35.0"
"24-Hour Kiosk (Austin B-cycle)","16.0","6/1/2014","00:12:00","8th & Congress","Barton Springs & Riverside","12.0"
"24-Hour Kiosk (Austin B-cycle)","29.0","6/1/2014","00:12:00","8th & Congress","Barton Springs & Riverside","12.0"
"24-Hour Kiosk (Austin B-cycle)","406.0","6/1/2014","00:12:00","Trinity & 6th Street","Trinity & 6th Street","14.0"
"24-Hour Kiosk (Austin B-cycle)","228.0","6/1/2014","00:12:00","Trinity & 6th Street","Trinity & 6th Street","13.0"
"24-Hour Kiosk (Austin B-cycle)","716.0","6/1/2014","00:12:00","Davis at Rainey Street","Davis at Rainey Street","1.0"
"24-Hour Kiosk (Austin B-cycle)","716.0","6/1/2014","00:12:00","Davis at Rainey Street","Davis at Rainey Street","8.0"
"24-Hour Kiosk (Austin B-cycle)","266.0","6/1/2014","00:12:00","Davis at Rainey Street","Davis at Rainey Street","9.0"
"24-Hour Kiosk (Austin B-cycle)","102.0","6/1/2014","01:12:00","Red River & 8th Street","4th & Congress","6.0"
"24-Hour Kiosk (Austin B-cycle)","976.0","6/1/2014","01:12:00","Convention Center / 4th St. @ MetroRail","6th & Navasota St.","9.0"
"24-Hour Kiosk (Austin B-cycle)","202.0","6/1/2014","01:12:00","4th & Congress","South Congress & Academy","7.0"
"Annual Membership (Austin B-cycle)","974.0","6/1/2014","01:12:00","Davis at Rainey Street","6th & Navasota St.","7.0"
"24-Hour Kiosk (Austin B-cycle)","453.0","6/1/2014","01:12:00","Capitol Station / Congress & 11th","Republic Square @ Guadalupe & 4th St.","12.0"
"24-Hour Kiosk (Austin B-cycle)","647.0","6/1/2014","01:12:00","Capitol Station / Congress & 11th","Republic Square @ Guadalupe & 4th St.","12.0"
"Annual Membership (Austin B-cycle)","175.0","6/1/2014","01:12:00","City Hall / Lavaca & 2nd","Pfluger Bridge @ W 2nd Street","5.0"
"24-Hour Kiosk (Austin B-cycle)","395.0","6/1/2014","01:12:00","Davis at Rainey Street","Trinity & 6th Street","8.0"
"Annual Membership (Austin B-cycle)","277.0","6/1/2014","01:12:00","4th & Congress","South Congress & Elizabeth","8.0"
"24-Hour Kiosk (Austin B-cycle)","425.0","6/1/2014","01:12:00","Davis at Rainey Street","Trinity & 6th Street","5.0"
"24-Hour Kiosk (Austin B-cycle)","962.0","6/1/2014","02:12:00","17th & Guadalupe","UT West Mall @ Guadalupe","12.0"
"24-Hour Kiosk (Austin B-cycle)","332.0","6/1/2014","02:12:00","17th & Guadalupe","UT West Mall @ Guadalupe","12.0"
"24-Hour Kiosk (Austin B-cycle)","135.0","6/1/2014","02:12:00","17th & Guadalupe","UT West Mall @ Guadalupe","11.0"
"Annual Membership (Austin B-cycle)","712.0","6/1/2014","02:12:00","6th & Navasota St.","Waller & 6th St.","2.0"
"24-Hour Kiosk (Austin B-cycle)","593.0","6/1/2014","02:12:00","8th & Congress","UT West Mall @ Guadalupe","13.0"
"Semester Membership (Austin B-cycle)","478.0","6/1/2014","02:12:00","Convention Center / 4th St. @ MetroRail","Palmer Auditorium","33.0"
"24-Hour Kiosk (Austin B-cycle)","400.0","6/1/2014","02:12:00","8th & Congress","UT West Mall @ Guadalupe","19.0"
"24-Hour Kiosk (Austin B-cycle)","362.0","6/1/2014","02:12:00","City Hall / Lavaca & 2nd","Guadalupe & 21st","10.0"
"Annual Membership (Austin B-cycle)","922.0","6/1/2014","02:12:00","4th & Congress","South Congress & Academy","8.0"
"Annual Membership (Austin B-cycle)","197.0","6/1/2014","02:12:00","Waller & 6th St.","4th & Congress","7.0"
"24-Hour Kiosk (Austin B-cycle)","540.0","6/1/2014","02:12:00","Riverside @ S. Lamar","South Congress & James","511.0"
"24-Hour Kiosk (Austin B-cycle)","554.0","6/1/2014","02:12:00","8th & Guadalupe","17th & Guadalupe","7.0"
"24-Hour Kiosk (Austin B-cycle)","706.0","6/1/2014","03:12:00","Capitol Station / Congress & 11th","Guadalupe & 21st","7.0"
"24-Hour Kiosk (Austin B-cycle)","68.0","6/1/2014","03:12:00","Red River & 8th Street","East 11th Street at Victory Grill","6.0"
"24-Hour Kiosk (Austin B-cycle)","60.0","6/1/2014","03:12:00","Palmer Auditorium","Red River & 8th Street","25.0"
"Annual Membership (Fort Worth Bike Sharing)","135.0","6/1/2014","06:12:00","UT West Mall @ Guadalupe","Plaza Saltillo","14.0"
"24-Hour Kiosk (Austin B-cycle)","746.0","6/1/2014","07:12:00","Red River & 8th Street","Zilker Park at Barton Springs & William Barton Drive","42.0"
"24-Hour Kiosk (Austin B-cycle)","478.0","6/1/2014","08:12:00","Palmer Auditorium","2nd & Congress","11.0"
"24-Hour Kiosk (Austin B-cycle)","320.0","6/1/2014","08:12:00","Palmer Auditorium","2nd & Congress","9.0"
"24-Hour Kiosk (Austin B-cycle)","93.0","6/1/2014","08:12:00","Palmer Auditorium","2nd & Congress","118.0"
"24-Hour Kiosk (Austin B-cycle)","8.0","6/1/2014","08:12:00","Zilker Park at Barton Springs & William Barton Drive","Red River & 8th Street","81.0"
"24-Hour Kiosk (Austin B-cycle)","690.0","6/1/2014","08:12:00","City Hall / Lavaca & 2nd","Convention Center / 4th St. @ MetroRail","5.0"
"Annual Membership (Austin B-cycle)","869.0","6/1/2014","08:12:00","Palmer Auditorium","Palmer Auditorium","17.0"
"Annual Membership (Austin B-cycle)","523.0","6/1/2014","09:12:00","5th & Bowie","5th & San Marcos","23.0"
"Annual (Denver Bike Sharing)","160.0","6/1/2014","09:12:00","2nd & Congress","City Hall / Lavaca & 2nd","3.0"
"Annual (Denver Bike Sharing)","373.0","6/1/2014","09:12:00","2nd & Congress","City Hall / Lavaca & 2nd","3.0"
"24-Hour Kiosk (Austin B-cycle)","976.0","6/1/2014","09:12:00","6th & Navasota St.","Barton Springs Pool","54.0"
"24-Hour Kiosk (Austin B-cycle)","275.0","6/1/2014","09:12:00","6th & Navasota St.","Barton Springs Pool","54.0"
"Annual Membership (Austin B-cycle)","523.0","6/1/2014","09:12:00","5th & San Marcos","Red River & 8th Street","12.0"
"24-Hour Kiosk (Austin B-cycle)","207.0","6/1/2014","09:12:00","Pfluger Bridge @ W 2nd Street","City Hall / Lavaca & 2nd","7.0"
"24-Hour Kiosk (Austin B-cycle)","122.0","6/1/2014","09:12:00","South Congress & Elizabeth","Republic Square @ Guadalupe & 4th St.","27.0"
"24-Hour Kiosk (Austin B-cycle)","938.0","6/1/2014","09:12:00","San Jacinto & 8th Street","ACC - Rio Grande & 12th","27.0"
"24-Hour Kiosk (Austin B-cycle)","3.0","6/1/2014","09:12:00","San Jacinto & 8th Street","ACC - Rio Grande & 12th","27.0"
"24-Hour Kiosk (Austin B-cycle)","575.0","6/1/2014","09:12:00","South Congress & Elizabeth","Republic Square @ Guadalupe & 4th St.","26.0"
"Annual Membership (Austin B-cycle)","523.0","6/1/2014","09:12:00","Red River & 8th Street","5th & Bowie","10.0"
"24-Hour Kiosk (Austin B-cycle)","276.0","6/1/2014","09:12:00","Riverside @ S. Lamar","Barton Springs & Riverside","76.0"
"24-Hour Kiosk (Austin B-cycle)","349.0","6/1/2014","09:12:00","Riverside @ S. Lamar","Barton Springs & Riverside","72.0"
"24-Hour Kiosk (Austin B-cycle)","461.0","6/1/2014","09:12:00","Pfluger Bridge @ W 2nd Street","3rd & West","14.0"
"24-Hour Kiosk (Austin B-cycle)","690.0","6/1/2014","09:12:00","Convention Center / 4th St. @ MetroRail","6th & Navasota St.","9.0"
"24-Hour Kiosk (Austin B-cycle)","263.0","6/1/2014","09:12:00","Convention Center / 4th St. @ MetroRail","6th & Navasota St.","9.0"
"24-Hour Kiosk (Austin B-cycle)","86.0","6/1/2014","10:12:00","Riverside @ S. Lamar","West & 6th St.","41.0"
"24-Hour Kiosk (Austin B-cycle)","320.0","6/1/2014","10:12:00","2nd & Congress","Republic Square @ Guadalupe & 4th St.","6.0"
"24-Hour Kiosk (Austin B-cycle)","478.0","6/1/2014","10:12:00","2nd & Congress","Republic Square @ Guadalupe & 4th St.","6.0"
"24-Hour Kiosk (Austin B-cycle)","93.0","6/1/2014","10:12:00","2nd & Congress","Republic Square @ Guadalupe & 4th St.","5.0"
"Annual Membership (Austin B-cycle)","341.0","6/1/2014","10:12:00","5th & Bowie","3rd & West","1.0"
"24-Hour Kiosk (Austin B-cycle)","922.0","6/1/2014","10:12:00","South Congress & Academy","2nd & Congress","9.0"
"24-Hour Kiosk (Austin B-cycle)","272.0","6/1/2014","10:12:00","South Congress & Academy","2nd & Congress","8.0"
"Annual Membership (Austin B-cycle)","301.0","6/1/2014","10:12:00","Zilker Park at Barton Springs & William Barton Drive","Barton Springs Pool","25.0"
"24-Hour Kiosk (Austin B-cycle)","272.0","6/1/2014","10:12:00","2nd & Congress","6th & Navasota St.","13.0"
"24-Hour Kiosk (Austin B-cycle)","479.0","6/1/2014","10:12:00","Riverside @ S. Lamar","Riverside @ S. Lamar","23.0"
"24-Hour Kiosk (Austin B-cycle)","922.0","6/1/2014","10:12:00","2nd & Congress","6th & Navasota St.","12.0"
"24-Hour Kiosk (Austin B-cycle)","347.0","6/1/2014","10:12:00","2nd & Congress","6th & Navasota St.","11.0"
"24-Hour Kiosk (Austin B-cycle)","961.0","6/1/2014","10:12:00","ACC - West & 12th","Barton Springs Pool","58.0"
"24-Hour Kiosk (Austin B-cycle)","37.0","6/1/2014","10:12:00","ACC - West & 12th","Barton Springs Pool","58.0"
"24-Hour Kiosk (Austin B-cycle)","936.0","6/1/2014","10:12:00","Long Center @ South 1st & Riverside","Riverside @ S. Lamar","17.0"
"24-Hour Kiosk (Austin B-cycle)","181.0","6/1/2014","10:12:00","Long Center @ South 1st & Riverside","Riverside @ S. Lamar","14.0"
"24-Hour Kiosk (Austin B-cycle)","663.0","6/1/2014","10:12:00","East 11th St. & San Marcos","Trinity & 6th Street","12.0"
"24-Hour Kiosk (Austin B-cycle)","370.0","6/1/2014","10:12:00","East 11th St. & San Marcos","Trinity & 6th Street","12.0"
"24-Hour Kiosk (Austin B-cycle)","558.0","6/1/2014","10:12:00","2nd & Congress","South Congress & Elizabeth","18.0"
"24-Hour Kiosk (Austin B-cycle)","89.0","6/1/2014","11:12:00","2nd & Congress","South Congress & Elizabeth","17.0"
"24-Hour Kiosk (Austin B-cycle)","202.0","6/1/2014","11:12:00","South Congress & Academy","City Hall / Lavaca & 2nd","5.0"
"24-Hour Kiosk (Austin B-cycle)","320.0","6/1/2014","11:12:00","Riverside @ S. Lamar","Riverside @ S. Lamar","51.0"
"24-Hour Kiosk (Austin B-cycle)","746.0","6/1/2014","11:12:00","Zilker Park at Barton Springs & William Barton Drive","Zilker Park at Barton Springs & William Barton Drive","39.0"
"24-Hour Kiosk (Austin B-cycle)","181.0","6/1/2014","11:12:00","Riverside @ S. Lamar","4th & Congress","26.0"
"24-Hour Kiosk (Austin B-cycle)","54.0","6/1/2014","11:12:00","Zilker Park at Barton Springs & William Barton Drive","Zilker Park at Barton Springs & William Barton Drive","38.0"
"24-Hour Kiosk (Austin B-cycle)","93.0","6/1/2014","11:12:00","Riverside @ S. Lamar","4th & Congress","25.0"
"24-Hour Kiosk (Austin B-cycle)","479.0","6/1/2014","11:12:00","Riverside @ S. Lamar","4th & Congress","24.0"
"24-Hour Kiosk (Austin B-cycle)","907.0","6/1/2014","11:12:00","East 11th Street at Victory Grill","South Congress & Academy","27.0"
"24-Hour Kiosk (Austin B-cycle)","947.0","6/1/2014","11:12:00","East 11th St. & San Marcos","South Congress & James","35.0"
"24-Hour Kiosk (Austin B-cycle)","19.0","6/1/2014","11:12:00","East 11th St. & San Marcos","South Congress & James","34.0"
"24-Hour Kiosk (Austin B-cycle)","975.0","6/1/2014","11:12:00","East 11th St. & San Marcos","South Congress & James","33.0"
"24-Hour Kiosk (Austin B-cycle)","60.0","6/1/2014","11:12:00","Red River & 8th Street","Red River & 8th Street","119.0"
"24-Hour Kiosk (Austin B-cycle)","980.0","6/1/2014","11:12:00","Red River & 8th Street","Red River & 8th Street","119.0"
"24-Hour Kiosk (Austin B-cycle)","127.0","6/1/2014","11:12:00","South Congress & Academy","Guadalupe & 21st","35.0"
"24-Hour Kiosk (Austin B-cycle)","164.0","6/1/2014","11:12:00","5th & Bowie","Riverside @ S. Lamar","54.0"
"24-Hour Kiosk (Austin B-cycle)","417.0","6/1/2014","11:12:00","South Congress & Academy","Guadalupe & 21st","34.0"
"24-Hour Kiosk (Austin B-cycle)","132.0","6/1/2014","11:12:00","5th & Bowie","Riverside @ S. Lamar","53.0"
"24-Hour Kiosk (Austin B-cycle)","976.0","6/1/2014","11:12:00","Barton Springs Pool","2nd & Congress","136.0"
