"Membership Type","Bike","Checkout Date","Checkout Time","Checkout Kiosk","Return Kiosk","Duration (Minutes)"
"Annual Membership (Austin B-cycle)","114.0","3/1/2014","00:12:00","Republic Square @ Guadalupe & 4th St.","West & 6th St.","3.0"
"24-Hour Kiosk (Austin B-cycle)","907.0","3/1/2014","00:12:00","Davis at Rainey Street","Davis at Rainey Street","27.0"
"24-Hour Kiosk (Austin B-cycle)","971.0","3/1/2014","00:12:00","Davis at Rainey Street","Davis at Rainey Street","484.0"
"24-Hour Kiosk (Austin B-cycle)","232.0","3/1/2014","00:12:00","Davis at Rainey Street","Davis at Rainey Street","23.0"
"24-Hour Kiosk (Austin B-cycle)","397.0","3/1/2014","00:12:00","Davis at Rainey Street","City Hall / Lavaca & 2nd","8.0"
"24-Hour Kiosk (Austin B-cycle)","110.0","3/1/2014","00:12:00","ACC - Rio Grande & 12th","ACC - Rio Grande & 12th","2.0"
"24-Hour Kiosk (Austin B-cycle)","185.0","3/1/2014","00:12:00","ACC - Rio Grande & 12th","ACC - Rio Grande & 12th","491.0"
"24-Hour Kiosk (Austin B-cycle)","110.0","3/1/2014","00:12:00","ACC - Rio Grande & 12th","ACC - Rio Grande & 12th","121.0"
"24-Hour Kiosk (Austin B-cycle)","95.0","3/1/2014","00:12:00","Bullock Museum @ Congress & MLK","Bullock Museum @ Congress & MLK","0.0"
"24-Hour Kiosk (Austin B-cycle)","263.0","3/1/2014","00:12:00","Bullock Museum @ Congress & MLK","Guadalupe & 21st","17.0"
"24-Hour Kiosk (Austin B-cycle)","95.0","3/1/2014","00:12:00","Bullock Museum @ Congress & MLK","Guadalupe & 21st","15.0"
"24-Hour Kiosk (Austin B-cycle)","479.0","3/1/2014","01:12:00","Trinity & 6th Street","UT West Mall @ Guadalupe","26.0"
"24-Hour Kiosk (Austin B-cycle)","540.0","3/1/2014","01:12:00","Trinity & 6th Street","UT West Mall @ Guadalupe","25.0"
"24-Hour Kiosk (Austin B-cycle)","800.0","3/1/2014","02:12:00","San Jacinto & 8th Street","Guadalupe & 21st","19.0"
"Annual Membership (Austin B-cycle)","410.0","3/1/2014","02:12:00","Waller & 6th St.","5th & Bowie","19.0"
"24-Hour Kiosk (Austin B-cycle)","922.0","3/1/2014","02:12:00","State Capitol @ 14th & Colorado","UT West Mall @ Guadalupe","366.0"
"24-Hour Kiosk (Austin B-cycle)","30.0","3/1/2014","02:12:00","State Capitol @ 14th & Colorado","UT West Mall @ Guadalupe","16.0"
"24-Hour Kiosk (Austin B-cycle)","198.0","3/1/2014","02:12:00","2nd & Congress","Davis at Rainey Street","13.0"
"24-Hour Kiosk (Austin B-cycle)","72.0","3/1/2014","02:12:00","2nd & Congress","Davis at Rainey Street","11.0"
"24-Hour Kiosk (Austin B-cycle)","517.0","3/1/2014","03:12:00","South Congress & Academy","8th & Guadalupe","12.0"
"24-Hour Kiosk (Austin B-cycle)","907.0","3/1/2014","03:12:00","Davis at Rainey Street","2nd & Congress","28.0"
"24-Hour Kiosk (Austin B-cycle)","232.0","3/1/2014","03:12:00","Davis at Rainey Street","2nd & Congress","307.0"
"24-Hour Kiosk (Austin B-cycle)","588.0","3/1/2014","03:12:00","8th & Guadalupe","ACC - West & 12th","5.0"
"24-Hour Kiosk (Austin B-cycle)","410.0","3/1/2014","08:12:00","5th & Bowie","17th & Guadalupe","11.0"
"24-Hour Kiosk (Austin B-cycle)","461.0","3/1/2014","08:12:00","South Congress & James","South Congress & James","59.0"
"24-Hour Kiosk (Austin B-cycle)","80.0","3/1/2014","09:12:00","8th & Congress","8th & Congress","163.0"
"24-Hour Kiosk (Austin B-cycle)","240.0","3/1/2014","09:12:00","8th & Congress","8th & Congress","163.0"
"Annual Membership (Austin B-cycle)","52.0","3/1/2014","09:12:00","5th & Bowie","4th & Congress","8.0"
"24-Hour Kiosk (Austin B-cycle)","68.0","3/1/2014","09:12:00","State Capitol @ 14th & Colorado","5th & Bowie","32.0"
"24-Hour Kiosk (Austin B-cycle)","367.0","3/1/2014","09:12:00","State Capitol @ 14th & Colorado","5th & Bowie","30.0"
"24-Hour Kiosk (Austin B-cycle)","241.0","3/1/2014","09:12:00","Guadalupe & 21st","Guadalupe & 21st","1.0"
"24-Hour Kiosk (Austin B-cycle)","175.0","3/1/2014","09:12:00","Guadalupe & 21st","Bullock Museum @ Congress & MLK","180.0"
"24-Hour Kiosk (Austin B-cycle)","340.0","3/1/2014","09:12:00","Guadalupe & 21st","Bullock Museum @ Congress & MLK","177.0"
"24-Hour Kiosk (Austin B-cycle)","302.0","3/1/2014","09:12:00","Guadalupe & 21st","Bullock Museum @ Congress & MLK","176.0"
"24-Hour Kiosk (Austin B-cycle)","397.0","3/1/2014","10:12:00","City Hall / Lavaca & 2nd","South Congress & James","19.0"
"Annual Membership (Austin B-cycle)","287.0","3/1/2014","10:12:00","Plaza Saltillo","Republic Square @ Guadalupe & 4th St.","26.0"
"24-Hour Kiosk (Austin B-cycle)","409.0","3/1/2014","10:12:00","City Hall / Lavaca & 2nd","South Congress & James","14.0"
"Annual Membership (Austin B-cycle)","125.0","3/1/2014","10:12:00","Capitol Station / Congress & 11th","4th & Congress","5.0"
"Annual Membership (Austin B-cycle)","446.0","3/1/2014","10:12:00","Capitol Station / Congress & 11th","Republic Square @ Guadalupe & 4th St.","6.0"
"24-Hour Kiosk (Austin B-cycle)","979.0","3/1/2014","10:12:00","Barton Springs & Riverside","Barton Springs & Riverside","336.0"
"24-Hour Kiosk (Austin B-cycle)","930.0","3/1/2014","10:12:00","Capitol Station / Congress & 11th","Capitol Station / Congress & 11th","120.0"
"24-Hour Kiosk (Austin B-cycle)","329.0","3/1/2014","10:12:00","Capitol Station / Congress & 11th","Capitol Station / Congress & 11th","182.0"
"24-Hour Kiosk (Austin B-cycle)","101.0","3/1/2014","10:12:00","6th & Navasota St.","Waller & 6th St.","7.0"
"24-Hour Kiosk (Austin B-cycle)","327.0","3/1/2014","10:12:00","6th & Navasota St.","Waller & 6th St.","12.0"
"24-Hour Kiosk (Austin B-cycle)","822.0","3/1/2014","10:12:00","Capitol Station / Congress & 11th","Capitol Station / Congress & 11th","181.0"
"24-Hour Kiosk (Austin B-cycle)","341.0","3/1/2014","10:12:00","6th & Navasota St.","Waller & 6th St.","6.0"
"Annual (Nashville B-cycle)","54.0","3/1/2014","10:12:00","6th & Navasota St.","Waller & 6th St.","6.0"
"24-Hour Kiosk (Austin B-cycle)","93.0","3/1/2014","10:12:00","6th & Navasota St.","Waller & 6th St.","5.0"
"24-Hour Kiosk (Austin B-cycle)","823.0","3/1/2014","11:12:00","City Hall / Lavaca & 2nd","South Congress & James","17.0"
"24-Hour Kiosk (Austin B-cycle)","14.0","3/1/2014","11:12:00","City Hall / Lavaca & 2nd","South Congress & James","16.0"
"24-Hour Kiosk (Austin B-cycle)","84.0","3/1/2014","11:12:00","Trinity & 6th Street","Capitol Station / Congress & 11th","8.0"
"24-Hour Kiosk (Austin B-cycle)","16.0","3/1/2014","11:12:00","Trinity & 6th Street","Capitol Station / Congress & 11th","8.0"
"24-Hour Kiosk (Austin B-cycle)","341.0","3/1/2014","11:12:00","Waller & 6th St.","Davis at Rainey Street","13.0"
"24-Hour Kiosk (Austin B-cycle)","190.0","3/1/2014","11:12:00","Red River & 8th Street","2nd & Congress","13.0"
"Annual (Nashville B-cycle)","54.0","3/1/2014","11:12:00","Waller & 6th St.","Davis at Rainey Street","13.0"
"24-Hour Kiosk (Austin B-cycle)","101.0","3/1/2014","11:12:00","Waller & 6th St.","Davis at Rainey Street","12.0"
"24-Hour Kiosk (Austin B-cycle)","327.0","3/1/2014","11:12:00","Waller & 6th St.","Davis at Rainey Street","12.0"
"24-Hour Kiosk (Austin B-cycle)","93.0","3/1/2014","11:12:00","Waller & 6th St.","Davis at Rainey Street","11.0"
"24-Hour Kiosk (Austin B-cycle)","321.0","3/1/2014","11:12:00","City Hall / Lavaca & 2nd","City Hall / Lavaca & 2nd","63.0"
"24-Hour Kiosk (Austin B-cycle)","202.0","3/1/2014","11:12:00","City Hall / Lavaca & 2nd","City Hall / Lavaca & 2nd","63.0"
"24-Hour Kiosk (Austin B-cycle)","951.0","3/1/2014","11:12:00","4th & Congress","5th & Bowie","11.0"
"24-Hour Kiosk (Austin B-cycle)","327.0","3/1/2014","11:12:00","Davis at Rainey Street","Davis at Rainey Street","0.0"
"24-Hour Kiosk (Austin B-cycle)","84.0","3/1/2014","11:12:00","Capitol Station / Congress & 11th","Guadalupe & 21st","16.0"
"24-Hour Kiosk (Austin B-cycle)","513.0","3/1/2014","11:12:00","Capitol Station / Congress & 11th","Guadalupe & 21st","16.0"
"24-Hour Kiosk (Austin B-cycle)","896.0","3/1/2014","11:12:00","Zilker Park at Barton Springs & William Barton Drive","Zilker Park at Barton Springs & William Barton Drive","29.0"
"24-Hour Kiosk (Austin B-cycle)","759.0","3/1/2014","11:12:00","Zilker Park at Barton Springs & William Barton Drive","Zilker Park at Barton Springs & William Barton Drive","28.0"
"7-Day Membership (Austin B-cycle)","68.0","3/1/2014","11:12:00","5th & Bowie","Waller & 6th St.","14.0"
"7-Day Membership (Austin B-cycle)","37.0","3/1/2014","11:12:00","5th & Bowie","Waller & 6th St.","15.0"
"24-Hour Kiosk (Austin B-cycle)","397.0","3/1/2014","11:12:00","South Congress & James","City Hall / Lavaca & 2nd","15.0"
"24-Hour Kiosk (Austin B-cycle)","176.0","3/1/2014","11:12:00","East 11th Street at Victory Grill","Guadalupe & 21st","24.0"
