"Membership Type","Bike","Checkout Date","Checkout Time","Checkout Kiosk","Return Kiosk","Duration (Minutes)"
"Founding Member (Austin B-cycle)","966.0","12/21/2013","09:12:00","4th & Congress","Republic Square","5.0"
"Annual Membership (Austin B-cycle)","36.0","12/21/2013","09:12:00","8th & Congress","Capitol Station / Congress & 11th","5.0"
"24-Hour Kiosk (Austin B-cycle)","101.0","12/21/2013","10:12:00","Republic Square","South Congress & James","19.0"
"24-Hour Kiosk (Austin B-cycle)","252.0","12/21/2013","13:12:00","Capitol Station / Congress & 11th","Capitol Station / Congress & 11th","4.0"
"24-Hour Kiosk (Austin B-cycle)","287.0","12/21/2013","13:12:00","5th & Bowie","4th & Congress","12.0"
"24-Hour Kiosk (Austin B-cycle)","252.0","12/21/2013","13:12:00","Capitol Station / Congress & 11th","Capitol Station / Congress & 11th","1.0"
"24-Hour Kiosk (Austin B-cycle)","125.0","12/21/2013","13:12:00","Capitol Station / Congress & 11th","Capitol Station / Congress & 11th","9.0"
"24-Hour Kiosk (Austin B-cycle)","287.0","12/21/2013","14:12:00","4th & Congress","5th & Bowie","5.0"
"Annual Membership (Austin B-cycle)","80.0","12/21/2013","14:12:00","Republic Square","5th & Bowie","3.0"
"24-Hour Kiosk (Austin B-cycle)","823.0","12/21/2013","14:12:00","Capitol Station / Congress & 11th","Capitol Station / Congress & 11th","4.0"
"Annual Membership (Austin B-cycle)","287.0","12/21/2013","14:12:00","5th & Bowie","Republic Square","3.0"
"24-Hour Kiosk (Austin B-cycle)","302.0","12/21/2013","14:12:00","5th & Bowie","City Hall / Lavaca & 2nd","5.0"
"24-Hour Kiosk (Austin B-cycle)","125.0","12/21/2013","14:12:00","Capitol Station / Congress & 11th","Capitol Station / Congress & 11th","35.0"
"24-Hour Kiosk (Austin B-cycle)","843.0","12/21/2013","14:12:00","2nd & Congress","South Congress & James","23.0"
