"Membership Type","Bike","Checkout Date","Checkout Time","Checkout Kiosk","Return Kiosk","Duration (Minutes)"
"24-Hour Kiosk (Austin B-cycle)","984.0","2/1/2014","00:12:00","Capitol Station / Congress & 11th","Capitol Station / Congress & 11th","0.0"
"24-Hour Kiosk (Austin B-cycle)","281.0","2/1/2014","00:12:00","Capitol Station / Congress & 11th","Capitol Station / Congress & 11th","29.0"
"24-Hour Kiosk (Austin B-cycle)","140.0","2/1/2014","00:12:00","Capitol Station / Congress & 11th","Capitol Station / Congress & 11th","28.0"
"Annual Membership (Austin B-cycle)","298.0","2/1/2014","00:12:00","Convention Center / 4th St. @ MetroRail","Convention Center / 4th St. @ MetroRail","0.0"
"Annual Membership (Austin B-cycle)","49.0","2/1/2014","00:12:00","Convention Center / 4th St. @ MetroRail","Waller & 6th St.","4.0"
"24-Hour Kiosk (Austin B-cycle)","829.0","2/1/2014","00:12:00","6th & Navasota St.","6th & Navasota St.","21.0"
"24-Hour Kiosk (Austin B-cycle)","823.0","2/1/2014","02:12:00","West & 6th St.","5th & Bowie","13.0"
"24-Hour Kiosk (Austin B-cycle)","282.0","2/1/2014","02:12:00","West & 6th St.","West & 6th St.","0.0"
"24-Hour Kiosk (Austin B-cycle)","425.0","2/1/2014","03:12:00","West & 6th St.","West & 6th St.","39.0"
"24-Hour Kiosk (Austin B-cycle)","302.0","2/1/2014","03:12:00","West & 6th St.","West & 6th St.","41.0"
"24-Hour Kiosk (Austin B-cycle)","823.0","2/1/2014","08:12:00","5th & Bowie","4th & Congress","8.0"
"24-Hour Kiosk (Austin B-cycle)","367.0","2/1/2014","09:12:00","Convention Center / 4th St. @ MetroRail","4th & Congress","35.0"
"24-Hour Kiosk (Austin B-cycle)","298.0","2/1/2014","09:12:00","Convention Center / 4th St. @ MetroRail","4th & Congress","34.0"
"24-Hour Kiosk (Austin B-cycle)","176.0","2/1/2014","09:12:00","South Congress & James","4th & Congress","16.0"
"Annual Membership (Austin B-cycle)","898.0","2/1/2014","09:12:00","South Congress & James","4th & Congress","16.0"
"Annual Membership (Austin B-cycle)","412.0","2/1/2014","09:12:00","Republic Square","5th & Bowie","6.0"
"Annual Membership (Austin B-cycle)","668.0","2/1/2014","09:12:00","Republic Square","5th & Bowie","6.0"
"Annual Membership (Austin B-cycle)","922.0","2/1/2014","09:12:00","8th & Congress","8th & Congress","4.0"
"24-Hour Kiosk (Austin B-cycle)","306.0","2/1/2014","09:12:00","5th & Bowie","City Hall / Lavaca & 2nd","35.0"
"24-Hour Kiosk (Austin B-cycle)","272.0","2/1/2014","09:12:00","5th & Bowie","City Hall / Lavaca & 2nd","34.0"
"24-Hour Kiosk (Austin B-cycle)","650.0","2/1/2014","10:12:00","Waller & 6th St.","5th & Bowie","11.0"
"24-Hour Kiosk (Austin B-cycle)","110.0","2/1/2014","10:12:00","17th & Guadalupe","17th & Guadalupe","161.0"
"24-Hour Kiosk (Austin B-cycle)","971.0","2/1/2014","10:12:00","17th & Guadalupe","Capitol Station / Congress & 11th","98.0"
"24-Hour Kiosk (Austin B-cycle)","663.0","2/1/2014","10:12:00","Barton Springs & Riverside","Barton Springs & Riverside","50.0"
"24-Hour Kiosk (Austin B-cycle)","100.0","2/1/2014","10:12:00","17th & Guadalupe","8th & Congress","11.0"
"24-Hour Kiosk (Austin B-cycle)","16.0","2/1/2014","10:12:00","2nd & Congress","South Congress & James","17.0"
"24-Hour Kiosk (Austin B-cycle)","30.0","2/1/2014","10:12:00","2nd & Congress","South Congress & James","15.0"
"24-Hour Kiosk (Austin B-cycle)","951.0","2/1/2014","10:12:00","Barton Springs & Riverside","Barton Springs & Riverside","0.0"
"24-Hour Kiosk (Austin B-cycle)","951.0","2/1/2014","10:12:00","Barton Springs & Riverside","Long Center @ South 1st & Riverside","13.0"
"24-Hour Kiosk (Austin B-cycle)","907.0","2/1/2014","10:12:00","South Congress & Elizabeth","Barton Springs & Riverside","15.0"
"24-Hour Kiosk (Austin B-cycle)","190.0","2/1/2014","10:12:00","2nd & Congress","Capitol Station / Congress & 11th","10.0"
"24-Hour Kiosk (Austin B-cycle)","980.0","2/1/2014","10:12:00","2nd & Congress","Capitol Station / Congress & 11th","9.0"
"24-Hour Kiosk (Austin B-cycle)","559.0","2/1/2014","10:12:00","Bullock Museum @ Congress & MLK","Convention Center / 4th St. @ MetroRail","16.0"
"24-Hour Kiosk (Austin B-cycle)","169.0","2/1/2014","10:12:00","17th & Guadalupe","17th & Guadalupe","0.0"
"24-Hour Kiosk (Austin B-cycle)","230.0","2/1/2014","10:12:00","Capitol Station / Congress & 11th","South Congress & Elizabeth","44.0"
"24-Hour Kiosk (Austin B-cycle)","113.0","2/1/2014","10:12:00","City Hall / Lavaca & 2nd","5th & Bowie","7.0"
"24-Hour Kiosk (Austin B-cycle)","177.0","2/1/2014","10:12:00","City Hall / Lavaca & 2nd","5th & Bowie","6.0"
"24-Hour Kiosk (Austin B-cycle)","140.0","2/1/2014","10:12:00","Capitol Station / Congress & 11th","South Congress & Elizabeth","42.0"
"24-Hour Kiosk (Austin B-cycle)","169.0","2/1/2014","11:12:00","17th & Guadalupe","8th & Congress","20.0"
"24-Hour Kiosk (Austin B-cycle)","80.0","2/1/2014","11:12:00","Republic Square","Republic Square","13.0"
"24-Hour Kiosk (Austin B-cycle)","161.0","2/1/2014","11:12:00","17th & Guadalupe","8th & Congress","19.0"
