"Membership Type","Bike","Checkout Date","Checkout Time","Checkout Kiosk","Return Kiosk","Duration (Minutes)"
"Weekender","395.0","10/1/2015","13:12:55","Barton Springs & Riverside","Capitol Station / Congress & 11th","12.0"
"Weekender","447.0","10/1/2015","14:12:24","East 11th St. at Victory Grill","Barton Springs & Riverside","18.0"
"Weekender","854.0","10/1/2015","15:12:53","2nd & Congress","11th & San Jacinto","11.0"
"Weekender","382.0","10/1/2015","21:12:11","Barton Springs & Riverside","Barton Springs @ Kinney Ave","5.0"
"Weekender","772.0","10/1/2015","17:12:10","Barton Springs & Riverside","2nd & Congress","19.0"
"Weekender","354.0","10/1/2015","10:12:52","City Hall / Lavaca & 2nd","8th & Congress","11.0"
"Weekender","114.0","10/1/2015","16:12:19","Pfluger Bridge @ W 2nd Street","Nueces @ 3rd","17.0"
"Weekender","998.0","10/1/2015","18:12:03","5th & Bowie","2nd & Congress","9.0"
"Weekender","822.0","10/1/2015","19:12:12","East 11th St. at Victory Grill","Waller & 6th St.","3.0"
"Walk Up","956.0","10/1/2015","01:12:31","Barton Springs & Riverside","Long Center @ South 1st & Riverside","15.0"
"Walk Up","101.0","10/1/2015","11:12:50","South Congress & Academy","Capitol Station / Congress & 11th","21.0"
"Walk Up","93.0","10/1/2015","15:12:49","5th & Bowie","Rainey St @ Cummings","12.0"
"Walk Up","100.0","10/1/2015","14:12:23","Davis at Rainey Street","5th & Bowie","14.0"
"Walk Up","201.0","10/1/2015","14:12:38","Davis at Rainey Street","5th & Bowie","14.0"
"Walk Up","161.0","10/1/2015","21:12:48","2nd & Congress","Pfluger Bridge @ W 2nd Street","14.0"
"Walk Up","84.0","10/1/2015","09:12:32","South Congress & James","South Congress & James","1.0"
"Walk Up","854.0","10/1/2015","09:12:59","South Congress & James","Nueces @ 3rd","12.0"
"Walk Up","827.0","10/1/2015","10:12:59","Long Center @ South 1st & Riverside","City Hall / Lavaca & 2nd","7.0"
"Walk Up","843.0","10/1/2015","11:12:27","Capitol Station / Congress & 11th","Guadalupe & 21st","19.0"
"Walk Up","930.0","10/1/2015","10:12:11","4th & Congress","Capitol Station / Congress & 11th","6.0"
"Walk Up","228.0","10/1/2015","22:12:01","East 11th St. & San Marcos","East 11th St. & San Marcos","34.0"
"Weekender","439.0","10/1/2015","13:12:45","Trinity & 6th Street","South Congress & Elizabeth","31.0"
"Weekender","853.0","10/1/2015","22:12:35","East 11th St. & San Marcos","East 11th St. & San Marcos","35.0"
"Walk Up","898.0","10/1/2015","22:12:39","East 11th St. & San Marcos","East 11th St. & San Marcos","34.0"
"Walk Up","549.0","10/1/2015","11:12:57","Red River & 8th Street","Trinity & 6th Street","14.0"
"Walk Up","898.0","10/1/2015","22:12:23","East 11th St. & San Marcos","Red River & 8th Street","5.0"
"Walk Up","36.0","10/1/2015","11:12:08","Trinity & 6th Street","Capitol Station / Congress & 11th","21.0"
"RideScout Single Ride","95.0","10/1/2015","11:12:43","4th & Congress","4th & Congress","1.0"
"Walk Up","161.0","10/1/2015","13:12:13","Rainey St @ Cummings","Rainey St @ Cummings","22.0"
"Walk Up","161.0","10/1/2015","14:12:16","Rainey St @ Cummings","City Hall / Lavaca & 2nd","43.0"
"Walk Up","460.0","10/1/2015","13:12:39","Rainey St @ Cummings","Rainey St @ Cummings","22.0"
"Walk Up","460.0","10/1/2015","14:12:44","Rainey St @ Cummings","Rainey St @ Cummings","0.0"
"Walk Up","765.0","10/1/2015","13:12:25","Guadalupe & 21st","Guadalupe & 21st","334.0"
"Walk Up","934.0","10/1/2015","13:12:04","Pfluger Bridge @ W 2nd Street","Pfluger Bridge @ W 2nd Street","39.0"
"RideScout Single Ride","20.0","10/1/2015","13:12:49","Trinity & 6th Street","Trinity & 6th Street","8.0"
"Explorer","420.0","10/1/2015","13:12:20","Rainey St @ Cummings","City Hall / Lavaca & 2nd","10.0"
"Walk Up","961.0","10/1/2015","13:12:15","5th & Bowie","Barton Springs Pool","82.0"
"Walk Up","399.0","10/1/2015","14:12:11","Bullock Museum @ Congress & MLK","ACC - West & 12th Street","30.0"
"Explorer","371.0","10/1/2015","18:12:16","Riverside @ S. Lamar","Long Center @ South 1st & Riverside","19.0"
"Explorer","371.0","10/1/2015","19:12:11","Capitol Station / Congress & 11th","Guadalupe & 21st","15.0"
"Walk Up","165.0","10/1/2015","19:12:16","Palmer Auditorium","Long Center @ South 1st & Riverside","130.0"
"Walk Up","395.0","10/1/2015","14:12:29","Capitol Station / Congress & 11th","Capitol Station / Congress & 11th","72.0"
"Walk Up","223.0","10/1/2015","20:12:25","South Congress & Academy","San Jacinto & 8th Street","13.0"
"RideScout Single Ride","550.0","10/1/2015","15:12:11","Red River & 8th Street","Red River & 8th Street","0.0"
"Walk Up","191.0","10/1/2015","21:12:22","Trinity & 6th Street","Capitol Station / Congress & 11th","7.0"
"Walk Up","775.0","10/1/2015","15:12:12","City Hall / Lavaca & 2nd","Barton Springs Pool","27.0"
"Walk Up","829.0","10/1/2015","15:12:53","City Hall / Lavaca & 2nd","Barton Springs Pool","27.0"
"Walk Up","220.0","10/1/2015","18:12:01","South Congress & Elizabeth","South Congress & James","10.0"
"Walk Up","878.0","10/1/2015","18:12:19","South Congress & James","2nd & Congress","10.0"
"Walk Up","897.0","10/1/2015","17:12:33","East 6th & Pedernales St.","East 4th & Chicon","0.0"
"Walk Up","839.0","10/1/2015","18:12:44","Waller & 6th St.","2nd & Congress","20.0"
"Walk Up","957.0","10/1/2015","16:12:48","ACC - West & 12th Street","West & 6th St.","4.0"
"Walk Up","540.0","10/1/2015","17:12:50","8th & Congress","Riverside @ S. Lamar","76.0"
