"Membership Type","Bike","Checkout Date","Checkout Time","Checkout Kiosk","Return Kiosk","Duration (Minutes)"
"24-Hour Kiosk (Austin B-cycle)","428.0","1/1/2014","00:12:00","4th & Congress","Barton Springs & Riverside","20.0"
"24-Hour Kiosk (Austin B-cycle)","14.0","1/1/2014","00:12:00","4th & Congress","Barton Springs & Riverside","19.0"
"24-Hour Kiosk (Austin B-cycle)","172.0","1/1/2014","00:12:00","4th & Congress","Barton Springs & Riverside","17.0"
"24-Hour Kiosk (Austin B-cycle)","417.0","1/1/2014","00:12:00","Convention Center / 4th St. @ MetroRail","Convention Center / 4th St. @ MetroRail","8.0"
"24-Hour Kiosk (Austin B-cycle)","421.0","1/1/2014","02:12:00","Convention Center / 4th St. @ MetroRail","Barton Springs & Riverside","18.0"
"24-Hour Kiosk (Austin B-cycle)","306.0","1/1/2014","02:12:00","Convention Center / 4th St. @ MetroRail","Barton Springs & Riverside","17.0"
"24-Hour Kiosk (Austin B-cycle)","974.0","1/1/2014","02:12:00","Convention Center / 4th St. @ MetroRail","Barton Springs & Riverside","48.0"
"24-Hour Kiosk (Austin B-cycle)","40.0","1/1/2014","02:12:00","8th & Congress","South Congress & James","15.0"
"24-Hour Kiosk (Austin B-cycle)","822.0","1/1/2014","02:12:00","8th & Congress","South Congress & James","14.0"
"24-Hour Kiosk (Austin B-cycle)","80.0","1/1/2014","03:12:00","8th & Congress","5th & Bowie","21.0"
"24-Hour Kiosk (Austin B-cycle)","647.0","1/1/2014","03:12:00","8th & Congress","5th & Bowie","19.0"
"24-Hour Kiosk (Austin B-cycle)","311.0","1/1/2014","03:12:00","8th & Congress","5th & Bowie","22.0"
"7-Day Membership (Austin B-cycle)","421.0","1/1/2014","09:12:00","Barton Springs & Riverside","City Hall / Lavaca & 2nd","18.0"
"24-Hour Kiosk (Austin B-cycle)","465.0","1/1/2014","09:12:00","Republic Square","Capitol Station / Congress & 11th","35.0"
"24-Hour Kiosk (Austin B-cycle)","453.0","1/1/2014","09:12:00","Republic Square","Capitol Station / Congress & 11th","34.0"
"7-Day Membership (Austin B-cycle)","421.0","1/1/2014","09:12:00","City Hall / Lavaca & 2nd","5th & Bowie","8.0"
"24-Hour Kiosk (Austin B-cycle)","102.0","1/1/2014","09:12:00","Capitol Station / Congress & 11th","Republic Square","35.0"
"24-Hour Kiosk (Austin B-cycle)","465.0","1/1/2014","09:12:00","Capitol Station / Congress & 11th","Republic Square","35.0"
"24-Hour Kiosk (Austin B-cycle)","421.0","1/1/2014","10:12:00","5th & Bowie","Barton Springs & Riverside","11.0"
